docid	allcopiesofwork	author	authordate	category	copiesin25yrs	enumcron	firstpub	gender	genres	hathiadvent	imprint	inferreddate	latestcomp	nationality	pseudonym	realname	shorttitle	subjects
mdp.39015019723181	2	Miller, Harriet (Mann)	1831-1918.	longfiction	2		1895.0	f	NotFiction	contemporary	Boston;New York;Houghton, Mifflin and company;1900.	1895	1895	us	Miller, Olive Thorne	Miller, Harriet Mann	In nesting time;	Birds
uc1.32106000446028	2	Bower, Ursula Graham	1914-1988	notfiction	2		1953.0	f	NotFiction	contemporary	New York|Morrow|1953.	1953	1953	uk			The hidden land; mission to a far corner of India	Native races|Social life and customs
mdp.39015030727955	4	Chase, Mary Ellen	1887-1973.	longfiction	4		1934.0	f	Fiction|NotFiction	contemporary	New York|Macmillan|c1934.	1934	1934	us			Mary Peters	
njp.32101064721549	1	Stevens, Sheppard	1862-1909.	longfiction	1		1902.0	m	Fiction	contemporary	Boston;Little, Brown;1902.	1902	1902	us			In the eagle's talon : a romance of the Louisiana Purchase	
mdp.39015060059204	1	Gregory, Patrick (Patrick Bolton)		longfiction	1		2004.0	m	Novel|Historical fiction	contemporary	Syracuse, N.Y.|Syracuse University Press|2004.	2004	2004	us			The daguerreotype : a novel	Emigration and immigration|Fiction|Women immigrants|British Americans
mdp.39015008571294	3	Compton-Burnett, I. (Ivy)	1884-1969.	longfiction	2		1937.0	f	Fiction|UnknownGenre	contemporary	New York|W. W. Norton & company, inc.|1938.	1938	1938	uk			Daughters and sons	
mdp.39015011514570	1		1924-2008	shortfiction	1		1983.0	m	Bibliographies|Fiction	contemporary	New York|Viking Press|Penguin Books|1983.	1983	1983	us		Hills, Lawrence Rust	Great Esquire fiction : the finest stories from the first fifty years	Short stories, American|American fiction|20th century
mdp.39015063946209	2	Quiller-Couch, Arthur Thomas, Sir	1863-1944.	longfiction	2		1918.0	m	Fiction	contemporary	New York;The Macmillan company;1918.	1918	1918	uk			Foe-Farrell; a romance	
nyp.33433074879515	3	Locke, William John	1863-1930.	longfiction	3		1911.0	m	Fiction	contemporary	New York;John Lane company;1911.	1911	1911	uk			The glory of Clementina	
inu.30000055877900	1	Wace	ca. 1100-ca. 1175.	poetry	1		1175.0	u	Bibliographies|NotFiction	reprint	London|J. M. Dent & sons, ltd.|New York|E. P. Dutton & co.|1937.	1937	1937				Arthurian chronicles	Arthurian romances|Romances|Translations into English|To 1066|Romances|History
mdp.39015000544919	2	Peterson, Brenda	1950-	longfiction	2		1978.0	f	Fiction	contemporary	New York|Knopf|1978.	1978	1978	us			River of light	
uc2.ark+=13960=t87h1f980	8	Bangs, John Kendrick	1862-1922.	longfiction	7		1897.0	m	Fiction|NotFiction	contemporary	New York;London;Harper;1902, c1897.	1897	1897	us			The pursuit of the house-boat	Doyle, Arthur Conan|Sir|1859-1930
uc1.b4463806	2	Magnuson, James	b. 1941	longfiction	2		1974.0	m	Fiction	contemporary	New York|McGraw-Hill|1974	1974	1974	us			Without barbarians	
uc2.ark+=13960=t9z030p6z	1	Neal, Joseph C. (Joseph Clay)	1807-1847.	longfiction	1		1837.0	m		contemporary	Philadelphia;T. B. Peterson;c1846.	1846	1846	us		Neal, Joseph Clay	Charcoal sketches	
dul1.ark+=13960=t3zs3df24	3	De Mille, James	1833-1880.	longfiction	2		1880.0	m	Fiction|Science fiction	contemporary	New York;Harper & Brothers;1888.	1888	1880	ca			A strange manuscript found in a copper cylinder	Utopias|Science fiction, Canadian|Sea stories|19th century
