docid	allcopiesofwork	author	authordate	category	copiesin25yrs	enumcron	firstpub	gender	genres	hathiadvent	imprint	inferreddate	latestcomp	nationality	pseudonym	realname	shorttitle	subjects
nc01.ark+=13960=t02z1vc0q	2	Norton, Frances Marie		longfiction	2		1888.0	f		contemporary	Chicago.;Frances Mari?? Norton, Publisher;1888.	1888	1888				The Stalwarts, or, Who were to blame?	
inu.39000000974274	1			shortfiction	1		1984.0	u	Fiction	contemporary	London|Bodley Head|1984.	1984	1984				Misfits : an anthology of short stories	English fiction|Fiction|Short stories, English|20th century|Social isolation
uc2.ark+=13960=t39z95s4s	2	Hood, Tom	1835-1874.	shortfiction	2		1874.0	m	Fiction	contemporary	"London;""Fun"" Office;c1877?-1879?"	1877	1874	uk			Merry thoughts	English wit and humor
inu.30000061601567	2	Forester, C. S. (Cecil Scott)	1899-1966.	longfiction	2		1933.0	m	War stories|Fiction	contemporary	New York|The press of the Readers club|1942	1942	1942	uk			Rifleman Dodd, and The gun, two novels of the Peninsular wars	Peninsular War, 1807-1814|Fiction|Fiction|Napoleonic Wars, 1800-1815|Guerrillas|Peninsular war, 1807-1814|Napoleonic Conquest, 1808-1813|History
nyp.33433074878640	10	Lever, Charles James	1806-1872.	longfiction	5	v. 1	1844.0	m	Fiction|NotFiction	contemporary	London;H. Colburn;1844.	1844	1844	ir			Arthur O'Leary : his wanderings and ponderings in many lands	English fiction
uc2.ark:/13960/t1ng4pv37	4	De Morgan, William Frend	1839-1917.	longfiction	4		1910.0	m	Fiction	contemporary	London|W. Heinemann|1910-	1910	1910	uk			An affair of dishonour	
uiuo.ark+=13960=t2c82nf0z	3	Dickens, Helen		longfiction	3	v.1	1874.0	f		contemporary	London;T. Cautley Newby, Publisher, 30, Welbeck Street, Cavendish Square;1874.	1874	1874	uk			The mill wheel	
mdp.39015029475343	1	Hood, Ann	1956-	longfiction	1		1993.0	f	Domestic fiction|Fiction	contemporary	New York|Doubleday|1993.	1993	1993	us			Places to stay the night	Fiction|Midlife crisis
uiuo.ark+=13960=t50g4052q	2	Warre Cornish, Blanche	1844-1922.	longfiction	2	v.1	1873.0	f		contemporary	London;Smith, Elder & Co.;1873.	1873	1873	uk			Alcestis	
njp.32101046807218	1	Sykes, S, Mrs		shortfiction	1	v.1-2	1813.0	f	Fiction	contemporary	London;Minerva Press;1813.	1813	1813	uk			Stories of the four nations : containing Montargis, a French story; My Aunt Patty, an English story; Lillias de Lara, a Spanish story; The Calabrian, an Italian story	
mdp.39015016441019	1	Hall, Radclyffe	1880-1943.	longfiction	1		1932.0	f	Fiction	contemporary	London|Falcon Press|1952	1952	1952	uk		Hall, Marguerite Radclyffe	The master of the house	
inu.32000001592148	1			shortfiction	1		1968.0	u	Fiction	contemporary	Wiesbaden|Harrassowitz|1968.	1968	1968				The Mongol tales of the 32 wooden men <fuǒin qoyar modun kümün-ü üliger> in their Mongol version of 1746 <1686>	
mdp.39015031305553	2	Stone, Chuck	1924-2014.	longfiction	2		1970.0	m	Fiction	contemporary	Indianapolis|Bobbs-Merrill|1970	1970	1970	us			King strut	
inu.30000055841815	1	Maré, Leon		longfiction	1		1996.0	m	Fiction	contemporary	London|Janus|1996.	1996	1996	sa		Maré, Leon	Dying is not easy	English fiction
mdp.39015063930500	1	George, Henry	1839-1897.	longfiction	1		1897.0	m	Fiction	contemporary	New York;London;The Macmillan company;1906.	1906	1897	us			The romance of John Bainbridge	
uc1.32106019094454	2	Volk, Patricia		longfiction	2		2007.0	f	Fiction|Humorous fiction	contemporary	New York|Alfred A. Knopf|2007	2007	2007	us			To my dearest friends	Fiction|Female friendship|New York|New York (State)|Middle-aged women
uiuo.ark+=13960=t2m623v1p	11	Lister, T. H. $q (Thomas Henry)	1800-1842.	longfiction	11	v.1	1828.0	m	NotFiction	contemporary	London;Henry Colburn ...;1828.	1828	1828	uk		Lister, Thomas Henry	Herbert Lacy	
inu.39000002682545	1	Egbuna, Obi B	1938-2014.	notfiction	1		1976.0	m	NotFiction	contemporary	Enugu, Nigeria|Fourth Dimension|1976.	1976	1976	ni			Diary of a homeless prodigal	
nyp.33433074968219	1	Disraeli, Isaac	1766-1848.	poetry	1		1799.0	m	Fiction	contemporary	New York;Printed and published by D. Longworth;1803.	1799	1803	uk		D’Israeli, Isaac	Romances	English fiction
uc2.ark+=13960=t53f5016t	1	Ruffini, Giovanni	1807-1881.	longfiction	1		1860.0	m		contemporary	Leipzig;B. Tauchnitz;1861.	1861	1861	it			Lavinia	
uc1.$b387308	4	Gaboriau, Emile	1832-1873.	longfiction	2		1870.0	m	NotFiction	contemporary	London;Vizetelly & Co.;1886.	1886	1873	fr			The count's millions	
mdp.39015005783819	3	Southern, Terry	1924-1995.	longfiction	3		1958.0	m	Fiction	contemporary	New York|Putnam|1964	1964	1964	us	Kenton, Maxwell		Candy, a novel	
nyp.33433076068067	2	Jones, Susan Carleton	1864-1926.	longfiction	2		1920.0	f	NotFiction	contemporary	Boston;Little, Brown, and co.;1920.	1920	1920	ca			The La Chance mine mystery	
uc1.$b787142	1	Mathew, David	1902-1975.	longfiction	1		1953.0	m	Fiction	contemporary	London|Collins|1953.	1953	1953	uk			The Prince of Wales's feathers	
nyp.33433074970546	3	Charles, Elizabeth Rundle	1828-1896.	shortfiction	3		1864.0	f	Fiction	contemporary	New York;M. W. Dodd;1864.	1864	1864	uk			The early dawn; or, Sketches of Christian life in England in the olden time	History|To 1485|Fiction
uc2.ark+=13960=t9k35nx3w	2	Munroe, Kirk	1850-1930.	longfiction	2		1893.0	m		reprint	New York;Harper & brothers;c1921.	1921	1921	us			Raftmates	
nyp.33433075852818	3	Sand, George	1804-1876.	longfiction	3		1876.0	f	Fiction	contemporary	New York;D. Appleton and company;1877.	1877	1876	fr		Dupin, Amantine Lucile Aurore	The tower of Percemont. A novel	
uc1.$b102387	1	Knight, Eric	1897-1943.	longfiction	1		1936.0	m	NotFiction	contemporary	New York|London|Harper & brothers|1937.	1937	1937	uk			Song on your bugles	
mdp.39015030705837	1	Mason, F. van Wyck (Francis van Wyck)	1901-1978.	longfiction	1		1962.0	m	NotFiction	contemporary	Garden City, N.Y.|Doubleday|1962.	1962	1962	us		Mason, Francis van Wyck	Trouble in Burma	
mdp.39015014138690	2	Humphreys, Emyr	1919-	longfiction	1		1955.0	m	Novel|NotFiction	contemporary	New York|McGraw-Hill|1956, c1955	1956	1955	uk			A man's estate	Fiction|Wales|Family farms|Brothers and sisters
loc.ark+=13960=t9086t312	1	Lano, Pierre de. [from old catalog]	1859-1904.	longfiction	1		1894.0	m		contemporary	New York;J.S. Tait & sons;1894.	1894	1894	fr		Lano, Pierre de	Napoleon III. and Lady Stuart;	Napoleon|Emperor of the French|III|1808-1873
mdp.39076002154875	1	Crownfield, Gertrude	1867-1945.	longfiction	1		1917.0	f	Juvenile audience|NotFiction	contemporary	New York;Macmillan;1921, c1917.	1917	1917	us			The little tailor of the winding way	Tailors|Juvenile fiction
uc1.$b807295	3	Dupuy, Eliza A. (Eliza Ann)	1814-1880.	longfiction	3		1856.0	f	NotFiction	contemporary	New York;Harper & brothers;1856.	1856	1856	us			The Huguenot exiles; or, The times of Louis XIV.  A historical novel	Fiction|Huguenots
nyp.33433074807342	2	Butler, Ellis Parker	1869-1937.	longfiction	2		1913.0	m	Fiction	contemporary	Boston;New York;Houghton Mifflin Company;1918.	1918	1918	us			Philo Gubb : Correspondence-School detective	
uiuo.ark+=13960=t03x8z50w	16	Ainsworth, William Harrison	1805-1882.	longfiction	5	v. 3	1841.0	m	Fiction|UnknownGenre|NotFiction	contemporary	London;Hugh Cunningham, Saint Martin's Place, Trafalgar Square;1841;(London;Samuel Bentley)	1841	1841	us			Old Saint Paul's	Fire, 1666|London|Fires|London, 1668|England|Fiction|London (England)|17th century|History|Plague
uc2.ark+=13960=t6n017c11	2	Holland, Clive	1866-1959.	longfiction	2		1911.0	m		contemporary	London;Hurst & Blackett, Ltd.;1911.	1911	1911				Brown face and white	
nyp.33433074920608	4	Austin, Alfred	1835-1913.	longfiction	4	v. 2	1858.0	m	NotFiction	contemporary	London;J.F. Hope;1858.	1858	1858	uk			Five years of it	
mdp.39015013286946	1	Maugham, Robin	1916-1981.	longfiction	1		1973.0	m	Fiction	contemporary	London|New York|W. H. Allen|1973.	1973	1973	uk			The barrier:	
uc2.ark+=13960=t8x922h56	1			longfiction	1		1867.0	u		contemporary	New York;Carlton & Porter;c1867.	1867	1867				Hetty Porter, or, God knows best	Conduct of life|Christian life|Early works to 1900|Juvenile fiction|Children
coo.31924003100207	1	Bryant, Christopher		longfiction	1		1966.0	m	NotFiction	contemporary	New York|Pageant Press|c1966	1966	1966				The bee hunter	Bee hunting
inu.30000107336434	1	El-Nukoya		longfiction	1		2006.0	m	Fiction	contemporary	Lagos, Nigeria|CG & S Books|c2006.	2006	2006	ni			Nine lives : a novel	
uc1.$b56277	1	Adams, Isabel		notfiction	1		1928.0	u	NotFiction	contemporary	New York|Century|c1928.	1928	1928				Heart of the woods ... a story of life among the habitants in the Laurentian foot-hills	
hvd.hwkagd	2	Grattan, Thomas Colley	1792-1864.	longfiction	2	v.2	1831.0	m	Fiction	contemporary	New York;J. & J. Harper;1831.	1831	1831	ir			Jacqueline of Holland : a historical tale	
uc1.32106002091053	4	Bourjaily, Vance Nye	1922-2010.	longfiction	3		1947.0	m	Fiction|NotFiction	contemporary	New York|C. Scribner's Sons|1947.	1947	1947	us			The end of my life	Fiction|World War, 1939-1945
mdp.39076002365786	1	Bialk, Elisa	1912-1990.	longfiction	1		1959.0	f	Fiction	contemporary	Cleveland|World Pub. co.|c1959.	1959	1959	us			Passport summer	Description and travel|Tour guides (Persons)|Man-woman relationships|Juvenile fiction
uc1.$b322954	1	Batchelor, Paula		longfiction	1		1954.0	f	NotFiction	contemporary	London|Methuen|1954	1954	1954				Bed majestical	
mdp.39015030618444	2	Sharon, Henrietta Bruce		longfiction	2		1945.0	f	NotFiction	contemporary	New York|Dodd Mead & Company|1945.	1945	1945				It's good to be alive	United States|Hospitals|Personal narratives, American|Disabled veterans|Rehabilitation|World War, 1939-1945
uc1.b3123709	11	Johnstone, C. I. (Christian Isobel)	1781-1857.	longfiction	10	v.2	1815.0	f	NotFiction|War stories|Bibliographies|Fiction|Bildungsromans	contemporary	London;Longman, Hurst, Rees, Orme, & Brown; [etc., etc.;1815.	1815	1815	uk			Clan-Albin: a national tale	Peninsular War, 1807-1814|Young men|823J66C|Fiction|Soldiers|Orphans
nnc1.cu50383493	3	Sealsfield, Charles	1793-1864.	longfiction	3		1852.0	m	NotFiction	contemporary	London;Ingram, Cooke, & co.;1852.	1852	1852	aus		Postl, Karl Anton	The cabin book: or, National characteristics	
uiuo.ark+=13960=t3cz3vq12	2	Norris, W. E. (William Edward)	1847-1925.	longfiction	2	v.1	1894.0	m		contemporary	London;W. Heinemann;1894.	1894	1894	uk			A victim of good luck;	
mdp.39015069354358	1	Joseph, Sheri	1967-	longfiction	1		2006.0	f	Fiction	contemporary	San Francisco|MacAdam/Cage Pub.|c2006.	2006	2006	us			Stray : a novel	Musicians|Fiction|Triangles (Interpersonal relations)
inu.32000005543857	3	Bates, H. E. (Herbert Ernest)	1905-1974.	shortfiction	2		1934.0	m	Fiction|NotFiction	contemporary	New York|The Macmillan company|1934.	1934	1934	uk			The woman who had imagination and other stories	
njp.32101038084727	3	Maturin, Charles Robert	1780-1824.	longfiction	3	vol.1	1808.0	m	England|Fiction|Publishers' advertisements	contemporary	London;Printed for Longman, Hurst, Rees, and Orme ... by J. D. Dewick;1808.	1808	1808	ir			The wild Irish boy : in three volumes	
mdp.39015030717576	2	Walpole, Hugh, Sir	1884-1941.	longfiction	2		1931.0	m	Fiction	contemporary	Garden City, N.Y.|Doubleday, Doran|1931.	1931	1931	uk		Walpole, Hugh Seymour	Above the dark tumult, an adventure	
uiuo.ark+=13960=t2j67qh6b	3	Bisset, Robert	1759-1805.	longfiction	3	v.2	1804.0	m		contemporary	London;Longman;1804.	1804	1804	uk			Modern literature;	
mdp.39015019966160	1	Merle, Robert	1908-2004.	longfiction	1		1970.0	m	Fiction	contemporary	New York|Simon and Schuster|1972	1972	1972	fr			Behind the glass	
uiuo.ark+=13960=t2p567h62	3	Whelpton, Edwin	1849-1925.	longfiction	3	v.3	1884.0	m		contemporary	London;Smith, Elder;1884.	1884	1884	uk			Meadow sweet; or, The wooing of Iphis;	
uc2.ark+=13960=t0vq2sk6k	2	Auerbach, Berthold	1812-1882.	longfiction	2		1878.0	m		contemporary	New York;H. Holt and company;1878.	1878	1878	de			Landolin	
uc2.ark+=13960=t56d5t850	2	Burnett, Frances (Hodgson)	1849-1924.	shortfiction	2		1916.0	f		contemporary	New York;C. Scribner's sons;1918 [c1916	1918	1916	uk			Sara Crewe, Little Saint Elizabeth, and other stories	
osu.32435053068557	2	Brand, Max	1892-1944.	longfiction	2		1923.0	m	Fiction|NotFiction	contemporary	New York|A.L. Burt Company|c1924.	1924	1924	us		Faust, Frederick Schiller	Dan Barry's daughter	
mdp.39015008526686	2	Azuela, Mariano	1873-1952.	longfiction	2		1918.0	m	NotFiction	reprint	San Antonio|Principia Press of Trinity University|1963.	1963	1952	me			Two novels of the Mexican Revolution: The trials of a respectable family and The underdogs	1910-1916|Fiction|History
mdp.39015069302852	2	Moggach, Deborah	1948-	longfiction	2		2007.0	f	Novel|Fiction	contemporary	London|Chatto & Windus|c2007.	2007	2007	uk			In the dark	Social conditions|London|Boardinghouses|England|Fiction|World War, 1914-1918
uc2.ark+=13960=t3804z59s	1	Munsey, Frank Andrew	1854-1925.	longfiction	1		1888.0	m		contemporary	New York;F.A. Munsey;1898, c1894.	1898	1898	us			The boy broker	
nyp.33433075739957	1	Mügge, Theodor	1806-1861.	longfiction	1		1854.0	m	Fiction	contemporary	Philadephia;Linsay & Blakiston;1865.	1865	1861	de		Mügge, Theodor 	Afraja; or, Life and love in Norway	German fiction
mdp.39015008008214	2	Braine, John	1922-1986.	longfiction	2		1981.0	m	Fiction	contemporary	London|Eyre Methuen|1981.	1981	1981	uk			One and last love	
uc1.b4105315	1	Sellar, Robert	1841-1919.	longfiction	1		1890.0	m	NotFiction	contemporary	Montreal;F. E. Grafton & sons;1890.	1890	1890	ca			Hemlock; a tale of the war of 1812	War of 1812|History|Fiction
njp.32101032329086	2	Lewis, M. G. (Matthew Gregory)	1775-1818.	longfiction	2	v.2	1806.0	m	Fiction	contemporary	London;J. F. Hughes;1806.	1806	1806	uk			Feudal tyrants; or, The Counts of Carlsheim and Sargans.  A romance	
uc1.$b242857	1	jr., Fox, John	1862-1919.	longfiction	1		1908.0	m	Fiction	contemporary	New York|C. Scribner's sons|1923.	1923	1923	us			The trail of the lonesome pine	
hvd.32044019951185	1	Dwight, Theodore	1796-1866.	notfiction	1		1824.0	m	Fiction	contemporary	New York;Printed by J. & J. Harper;1831.	1831	1831				The northern traveller, and Northern tour;	Guidebooks
pst.000058017623	2	Sutcliff, Rosemary	1920-1992.	juvenile	2		1954.0	f	UnknownGenre|NotFiction	contemporary	New York|H. Z. Walck|1954].	1954	1954	uk			The eagle of the ninth	History|History|Fiction|Roman period, 55 B.C.-449 A.D|Fiction
njp.32101068163508	2			longfiction	2	vol.1	1826.0	u	Fiction	contemporary	London;Printed for Longman, Rees, Orme, Brown, and Green;1826.	1826	1826				The eccentric traveller	
pst.000005343997	1	Hobson, Edwin N		longfiction	1		1934.0	m	NotFiction	contemporary	Sydney|Jackson & O'Sullivan|1934.	1934	1934	au			Destiny	
mdp.39015030744984	3	Hearn, Lafcadio	1850-1904.	shortfiction	3		1884.0	m	Bibliographies|Fiction	contemporary	Boston;New York;Houghton, Mifflin and company;c1884	1884	1884	gk	Yakumo, Koizumi	Hearn, Patrick Lafcadio	Stray leaves from strange literature; stories reconstructed from the Anvari-Soheïli, Baitál, Pachísí, Mahabharata, Pantchatantra-Gulistan, Talmud, Kalewala, etc	
mdp.39015078800441	1			shortfiction	1		2009.0	u	Short stories	contemporary	Houston, Tex.|Arte PÃºblic	2009	2009				Hit list : the best of Latino mystery	Detective and mystery stories, American|American fiction|Hispanic Americans|Fiction|Hispanic American authors
hvd.hn3n5s	1	Scott, Walter, Sir	1771-1832.	longfiction	1	v.7	1819.0	m	Fiction	contemporary	Boston;Samuel H. Parker;1834.	1834	1832	uk			The Bride of Lammersmoore	
nyp.33433067293906	1	Edgeworth, Maria	1767-1849.	longfiction	1	v. 15-16	1814.0	f	NotFiction	contemporary	New York;Printed and published by J. & J. Harper;1832-1834.	1832	1832	ir			Patronage	
uc2.ark+=13960=t85h7f036	1	Walden, Walter		longfiction	1		1922.0	m		contemporary	Boston;Small, Maynard;c1922.	1922	1922				The voodoo gold trail	
uiuo.ark+=13960=t5db8pd5f	4	Surr, T. S	1770-1847.	longfiction	4	v.2	1806.0	m		contemporary	London;R. Phillips;1806.	1806	1806				A winter in London;	
uiuo.ark+=13960=t4dn4qr64	3	Pardoe	1806-1862.	longfiction	3	v.1	1839.0	f		contemporary	London;H. Colburn;1839.	1839	1839	uk			The romance of the harem	
mdp.39015063959723	1	Weatherly, F. E. (Frederic Edward)	1848-1929.	longfiction	1		1879.0	m	Fiction	contemporary	London;S. Low, Marston, Searle, & Rivington;1879.	1879	1879	uk			Oxford days; or, How Ross got his degree	Fiction|University of Oxford
wu.89104490842	1	Southworth, Emma Dorothy Eliza Nevitte	1819-1899.	longfiction	1		1893.0	f	Fiction	contemporary	New York;G.W. Dillingham;1898.	1898	1898	us			Brandon Coyle's wife : a sequel to A skeleton in the closet	
mdp.39015011506170	1			notfiction	1		1978.0	u	NotFiction	contemporary	Melbourne|New York|Oxford University Press|1978.	1978	1978				Small boats and big seas : a hundred years of yachting	Yachts|History|Yachting
uiuo.ark+=13960=t1gj05f38	3	Veitch, Sophie F. F		longfiction	3	v.3	1869.0	f		contemporary	London;Bentley;1869.	1869	1869				Wise as a serpent	
mdp.39015050292658	1	Germain, Sylvie	1954-	longfiction	1		1986.0	f	Fiction	contemporary	Boston|D.R. Godine|2000.	2000	2000	fr			Night of amber	
nyp.33433076049216	3	Piatt, Don	1819-1891.	shortfiction	3		1888.0	m	Fiction	contemporary	Chicago;Belford, Clarke & Co.;1888.	1888	1888	us			The lone grave of the Shenandoah, and other tales	
nyp.33433074915038	25	Morier, James Justinian	1780-1849.	longfiction	13	v. 1	1824.0	m	Bibliographies|Fiction|NotFiction	contemporary	Philadelphia;A. Small;1824.	1824	1824	uk			The adventures of Hajji Baba, of Ispahan	English fiction
uiuo.ark+=13960=t3708q269	4	Peregrine, Peter		longfiction	4	v.3	1809.0	m		contemporary	London;R. Spencer;1809.	1809	1809				Matilda Montfort	
uc1.$b680136	2	Lorant, Stefan	1901-1997.	notfiction	2		1935.0	u	NotFiction	contemporary	New York|G. P. Putnam's Sons|1935.	1935	1935				I was Hitler's prisoner; a diary	Germany|Nationalsozialistische Deutsche Arbeiter-Partei|Political crimes and offenses
hvd.32044088980156	1	Hunt, T. P. (Thomas Poage)	1794-1876.	notfiction	1		1845.0	m	Fiction	contemporary	Philadelphia;Griffith & Simon;New York;Saxton & Miles;1845.	1845	1845				The wedding days of former times	Temperance
uc1.$b63751	1	Selby, John	b. 1897.	longfiction	1		1939.0	m	Fiction	contemporary	New York|Farrar & Rinehart|c1939	1939	1939	us			Sam	
uc1.b3810939	1	Cloete, Stuart	1897-1976.	longfiction	1		1966.0	m	NotFiction	contemporary	New York|Trident Press|1966.	1966	1966	sa			The abductors	
mdp.39015060594010	1	Kurlansky, Mark	1948-	longfiction	1		2005.0	m	Fiction	contemporary	New York|Ballantine Books|c2005.	2005	2005	us			Boogaloo on 2nd Avenue : a novel of pastry, guilt, and music	Fiction
uiuo.ark+=13960=t10p1mf8g	3	Middlemass, Jean	1833-1919.	longfiction	3	v.1	1875.0	f		contemporary	London;Chapman and Hall;1875.	1875	1875	uk		Middlemass, Mary Jane	Baiting the trap	
mdp.39015046831668	1	Wodehouse, P. G., (Pelham Grenville)	1881-1975.	notfiction	1		1940.0	m	Fiction	contemporary	New York|Garden City Publishing Co.|1940	1940	1940	uk			The week-end Wodehouse	
mdp.39015079245232	1	Nhá̂t Hạnh, Thích		notfiction	1		2008.0	u	NotFiction	contemporary	London|Darton Longman & Todd|2008.	2008	2008				The essential Thich Nhat Hanh : Thich Nhat Hanh	Doctrines|Buddhism|Religious life
uiuo.ark+=13960=t70v8tn4r	3	Curtis, Ella J		longfiction	3	v.2	1889.0	f		contemporary	London;Hurst and Blackett, Limited, 13, Great Marlborough Street;1889;(Bolton)	1889	1889				A game of chance	
uc1.b248026	2	Pansy	1841-1930.	juvenile	1		1876.0	f	Fiction|Juvenile audience	contemporary	Boston;Lothrop Pub. Co.;c1876.	1876	1876	us		Alden, Isabella MacDonald	Four girls at Chautauqua	
uc1.$b80858	2	Green, Julien	1900-1998.	longfiction	2		1932.0	m	NotFiction	contemporary	New York and London|Harper & brothers|1932.	1932	1932	fr			The strange river	
mdp.39015063617586	1	Hook, Theodore Edward	1788-1841.	longfiction	1		1839.0	m	Fiction	contemporary	London;R. Bentley; [etc., etc.;1842.	1842	1839	uk			All in the wrong; or, Births, deaths, and marriages	
uc2.ark+=13960=t7mp50w55	2	Ohnet, Georges	1848-1918.	longfiction	2		1882.0	m		contemporary	London;Vizetelly & Co.;1884.	1884	1884	fr			The ironmaster	
uc1.b3116636	1	Hahn, Emily	1905-1997.	longfiction	1		1942.0	f	NotFiction	contemporary	Garden City, N. Y.|Doubleday, Doran|1942.	1942	1942	us			Mr. Pan	
nyp.33433074859897	1	Gwynne, Talbot		longfiction	1		1854.0	m	Fiction	contemporary	New York;Riker, Thorne & Co.;1854.	1854	1854				Nanette and her lovers; a tale of Normandy	English fiction
nc01.ark+=13960=t9z034v7b	2	Thompson, Adele E		longfiction	2		1906.0	f		contemporary	Boston;Lothrop, Lee & Shephard Co.;1906	1906	1906	us			Polly of the pines;	Revolution, 1775-1783|United States|Fiction|History
njp.32101068163854	3			longfiction	3	vol.2	1823.0	u	Fiction	contemporary	London;H. Colburn & Co.;1823.	1823	1823				Isabella. A novel	
mdp.39015033964035	1	Valenzuela, Luisa	1938-	longfiction	1		1994.0	f	Humorous stories|Fiction	contemporary	London|New York|Serpents Tail/High Risk Books|1994.	1994	1994	ar			Bedside manners	Fiction
nyp.33433075747141	1	Oliver, N. W		longfiction	1		1835.0	f	Juvenile audience|Fiction	contemporary	Worcester, [Mass.;C. Harris;1835.	1835	1835				Sephora : a Hebrew tale, descriptive of the country of Palestine, and of the manners and customs of the ancient Israelites	
uiuo.ark+=13960=t6n01pv5m	3	Mills, John		longfiction	3	v.1	1845.0	m		contemporary	London;T.C. Newby;1845.	1845	1845				The old hall, or, Our hearth and homestead	
uc1.$b71371	2	Armfield, Eugene Morehead	1904-1953.	longfiction	2		1936.0	m	Fiction	contemporary	New York|Covici-Friede|c1936	1936	1936	us			Where the weak grow strong	
mdp.39015000235500	2	Jhabvala, Ruth Prawer	1927-2013.	longfiction	2		1976.0	f	Fiction	contemporary	New York|Harper & Row|1976, c1975.	1976	1976				Heat and dust	
uc1.b4462499	1	Keeble, John	1944-	longfiction	1		1971.0	m	Fiction	contemporary	New York|Grossman Publishers|1971.	1971	1971	us			Crab canon	
nyp.33433008142220	3	Oldham, Eiza S		longfiction	3		1864.0	f	NotFiction	contemporary	Glasgow;Scottish Temperance League;1864.	1864	1864				By the Trent	
coo.31924013487735	1	Warden, Florence	1857-1929.	longfiction	1		1891.0	f	NotFiction	contemporary	Leipzig;Heinemann and Balestier;1891.	1891	1891	uk		Price, Florence Alice	Pretty Miss Smith	
mdp.39015079305028	1	Leitch, Maurice	1933-	longfiction	1		2009.0	m	Short stories	contemporary	Belfast|Lagan Press|2009.	2009	2009	uk			Dining at the Dunbar	
uc2.ark+=13960=t21c20786	5	Horlock, Knightley William	1802-1882.	longfiction	5	v.2	1860.0	m	NotFiction	contemporary	London;Hurst and Blackett;1860.	1860	1860	uk			Lord Fitzwarine	
mdp.39015063226115	1	Conrad, Christine	1946-	longfiction	1		2006.0	f	Domestic fiction|Novel|Love stories	contemporary	Boston|Houghton Mifflin Co.|2006.	2006	2006	us			Mademoiselle Benoir	France|Young men|Fiction|Aristocracy (Social class)|Americans|Artists|Middle-aged women
uiuo.ark+=13960=t3rv0x09k	4	Davenport, Selina	1779-1859.	longfiction	4	v.2	1814.0	f		contemporary	London;Printed at the Minerva-press, for A.K. Newman and Co.;1814.	1814	1814	uk			The hypocrite;	
uc1.$b116695	1	Hathaway, Baxter	1909-1984.	shortfiction	1		1948.0	m	NotFiction	contemporary	Ithaca, N.Y.|Cornell University Press|1948.	1948	1948	us			Writers for tomorrow;	
mdp.39015030706777	2	Masters, Edgar Lee	1868-1950.	longfiction	2		1924.0	m	Fiction	contemporary	New York|Boni and Liveright|1924	1924	1924	us			Mirage	
wu.89098012495	1	Brine, Mary D. (Mary Dow)	1816-	juvenile	1		1987.0	f	Juvenile audience|Fiction	contemporary	London|Ernest Nister|New York|E.P. Dutton|18--?].	1987	1987				The doings of a dear little couple	
uc2.ark+=13960=t03x86861	2	Taylor, William		notfiction	2		1847.0	m		contemporary	London;T.C. Newby;Parry;Blenkarn and co.;1847.	1847	1847	uk			Life in the ranks	Army|Military life|Great Britain
coo.31924013798933	2	Plagemann, Bentz	1913-1991.	longfiction	2		1955.0	m	NotFiction	contemporary	New York|McGraw-Hill|c1955	1955	1955	us			This is Goggle; or, The education of a father	Child rearing|Personal narratives
mdp.39015010783788	8	Porter, Anna Maria	1780-1832.	longfiction	6	v.3	1809.0	f	Fiction|NotFiction	contemporary	London;Printed for Longman, Hurst, Rees, and Orme;1809.	1809	1809	uk			Don Sebastian; or, The House of Braganza an historical romance	1554-1578|SebastiaÌƒo|Seba
uc1.b4411178	2	Panferov, Fedor Ivanovich	1896-1960.	longfiction	2		1939.0	m	Fiction	contemporary	London|Putnam|1939	1939	1939	ru			And then the harvest	
uiuo.ark+=13960=t8df77x6r	3	Tytler, Sarah	1827-1914.	longfiction	3	v.3	1882.0	f		contemporary	London;Smith, Elder, co.;1882.	1882	1882	uk		Keddie, Henrietta	Scotch marriages	
mdp.39015024757794	1	Fetalvero, Benn M	1926-	longfiction	1		1955.0	m	Fiction	contemporary	Manila?|the author|1955.	1955	1955	ph			The harvest of thorns	Philippine fiction (English)
uc1.b3778904	2	Ramírez, Sergio	1942-	longfiction	2	copy 2	1984.0	m	Fiction	contemporary	New York, NY, USA|Readers International|Columbia, La., USA|US Subscription and Order Dept.|c1984.	1984	1984	nic		Mercado, Sergio Ramírez	To bury our fathers : a novel of Nicaragua	
mdp.39015030849932	1	Adlard, Mark	1932-	longfiction	1		1978.0	m	Fiction	contemporary	New York|Summit Books|c1978.	1978	1978	uk		Adlard, Peter Marcus “Mark”	The greenlander	
mdp.39015031232757	2	DuBois, David Graham	1925-2005.	longfiction	2		1975.0	m	Fiction	contemporary	Palo Alto, Calif.|Ramparts Press|1975	1975	1975	us			And bid him sing : a novel	
uc2.ark+=13960=t7vm49d1s	1	Braddon, M. E. (Mary Elizabeth)	1835-1915.	shortfiction	1		1886.0	f		contemporary	London;J. and R. Maxwell;1886	1886	1886	uk			Under the red flag, and other tales	
uc1.b3473156	2	Pryce-Jones, David	1936-	longfiction	2		1967.0	m	Fiction	contemporary	London|Weidenfeld & Nicolson|1967.	1967	1967	uk			The stranger's view	
pst.000050297498	1	Hamilton, Tamsin		longfiction	1		1980.0	u	War stories|Fiction|Historical fiction	contemporary	New York|Seaview Books|c1980.	1980	1980				Paris in the fall	1940-1944|History|Fiction
