doc1	auth1	title1	doc2	auth2	title2	authmatch	titlematch	overlap	groundtruth	hasworks	cossim
wu.89058280124	gillham, charles e	Medicine men of Hooper Bay; more tales from the Clapping Mou	inu.39000005890012	gillham, charles edward	Medicine men of Hooper Bay : or, The Eskimo's Arabian nights	0.8780487805	0.8857142856999999	28.862669322	0	0	0.0097907645
mdp.39015005729523	sullivan, may kellogg, mr	A woman who went to Alaska	njp.32101018185874	sullivan, may kellogg, mr	A woman who went to Alaska	1.0	1.0	26.8145601659	1	0	0.0097942152
uc1.32106002253976	lagerlöf, selma	Marbacka	uc1.b4087840	lagerlöf, selma	Mårbacka	1.0	0.9411764706	0.0	1	0	0.0098213011
njp.32101067491678	libedinskiĭ, i︠u︡. (i︠u︡r	A week	mdp.39015003870295	libedinskiĭ, i͡u. (i͡uriĭ	A week	0.84	1.0	8.5913725896	1	0	0.0100429983
wu.89094592482	curtin, jeremiah	Hero-tales of Ireland	inu.39000005899575	curtin, jeremiah	Hero-tales of Ireland	1.0	1.0	16.8763809229	1	0	0.0103303083
nyp.33433074849047	drummond, william henry	The habitant, and other French-Canadian poems	uc2.ark+=13960=t5v69fc2p	drummond, william henry	The habitant and other French Canadian poems	1.0	0.9428571429000001	18.4582656199	1	0	0.010384964
pst.000057675817	vereshchagin, vasiliĭ vas	Vassili Verestchagin : painter, soldier, traveller; autobiog	nyp.33433082394507	vereshchagin, vasiliĭ vas	Vassili Verestchagin, painter, soldier, traveler; autobiogra	1.0	0.9714285714	45.8731043475	1	0	0.010879513700000001
mdp.39015012073550	zweig, arnold	Education before Verdun	mdp.39015063608395	zweig, arnold	Education before Verdun	1.0	1.0	21.4495609865	1	0	0.0108880944
mdp.39015065818422	hémon, louis	Maria Chapdelaine; a tale of the Lake St. John country	uc1.$b703803	hémon, louis	Maria Chapdelaine, a tale of the Lake St. John country	1.0	0.9714285714	40.6886325684	1	0	0.010896418
mdp.49015002131796	butler, samuel	Erewhon; or, Over the range	mdp.39015066681563	butler, samuel	Erewhon; or, Over the range	1.0	1.0	23.177205403200002	1	0	0.010981158799999998
mdp.39015064571865	lane, janet	Your carriage, madam. A guide to good posture	coo.31924003451030	lane, janet	Your carriage, madam! A guide to good posture	1.0	0.9714285714	40.716321518499996	1	0	0.011105561100000001
nyp.33433074815899	holmes, oliver wendell	The poet at the breakfast-table	mdp.39015041829584	holmes, oliver wendell	The poet at the breakfast table	1.0	0.9677419355	10.2584309983	1	0	0.0111110277
mdp.39015026478720	racovița, elena (von dönn	Princess Helene von Racowitza, an autobiography;	mdp.39015026478464	racoviţa, elena (von dönn	Princess Helene von Racowitza, an autobiography; authorised 	0.96	1.0	40.239382314000004	1	0	0.0116373114
