docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uc2.ark+=13960=t8sb40478,"Banim, John",,,m,ir,1798-1842.,1828,,1828,13,9,v.1,London;H. Colburn;1828.,Bibliographies|Fiction,Ireland|Fiction|British|Fiction|History|Social life and customs|19th century,novel,The Anglo-Irish of the nineteenth century
uc2.ark+=13960=t3cz3724j,"Normanby, Constantine Henry Phipps",,,m,uk,1797-1863,1828,,1828,2,2,v.1,London;H. Colburn;1828.,,,novel,Yes and no
njp.32101067707628,"Beazley, Samuel",,,m,uk,1786-1851.,1828,,1828,6,6,vol.1,London;H. Colburn;1828.,Fiction|NotFiction,"Lytton, Edward Bulwer Lytton|1803-1873|supposed author|Baron",novel,The roué
uiuo.ark+=13960=t1hh6x30p,Gore,"Gore, Catherine Grace Frances",,f,uk,1798-1861,1829,,1829,2,2,v.1,London;H. Colburn;1829.,,,novel,Romances of real life
uiuo.ark+=13960=t99605q13,,,,u,,,1829,,1829,2,2,v.3,"London;H. Colburn, New Burlington Street;1829.",,823SCH65,novel,The School of fashion
hvd.32044012556544,"Leggett, William",,,m,us,1801-1839.,1829,,1829,3,3,,New York;Harper;1829.,Fiction|NotFiction,,novel,Tales and sketches
nyp.33433074964598,"Banim, John",,,m,ir,1798-1842.,1830,,1830,9,9,v. 2,New York;Printed by J. & J. Harper;1830.,Fiction,,novel,The denounced
mdp.39015031644431,"Hook, Theodore Edward",,,m,uk,1788-1841.,1830,,1830,10,10,v.3,London;H. Colburn and R. Bentley;1830.,Fiction,English fiction,novel,Maxwell
nyp.33433075764427,"Warren, Samuel",,,m,,1807-1877.,1831,,1831,5,5,v. 1,New York;J. & J. Harper;1831.,Fiction|NotFiction,,nonfic,Affecting scenes : being passages from the diary of a physician
uc2.ark+=13960=t3610xr39,"Morier, James Justinian",,,m,uk,1780?-1849.,1832,,1832,4,4,v.1,London;R. Bentley;1832.,,,novel,Zohrab
nyp.33433076052749,"Taylor, Jane",,,f,uk,1783-1824.,1832,,1824,4,4,v. 3,Boston;Perkins & Marvin;1832.,NotFiction,English literature,juvenile | shortstories,The writings of Jane Taylor
uiuo.ark+=13960=t5v70147x,"James, G. P. R. (George Payne Rainsford)",,,m,uk,1801?-1860.,1832,,1832,4,4,v.2,London;R. Bentley;1832.,Fiction|NotFiction,,novel,The string of pearls
uc2.ark+=13960=t6445pn55,"Morier, James Justinian",,,m,uk,1780?-1849.,1834,,1834,9,9,v.01,London;R. Bentley;1834.,Fiction,,novel,"Ayesha, the maid of Kars"
nyp.33433076094352,"Knapp, Samuel L. (Samuel Lorenzo)","Knapp, Samuel Lorenzo",,m,us,1783-1838.,1834,,1834,2,2,,New York;Printed by West & Trow;1834.,Fiction,American fiction,novel,Tales of the garden of Kosciusko
mdp.39015063560430,"Howitt, Mary Botham",,,f,uk,1799-1888.,1836,,1836,10,10,v.2,London;R. Bentley;1836.,Fiction|NotFiction,,novel,"Wood Leighton : or, A year in the country"
