HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc1.b249782,484766,271352,PZ3.D298P,"Davis, Richard Harding,",New York;Harper & brothers;1895.,1895,<blank>,<blank>,Fiction,The Princess Aline,1895,1895,5,fic,y
uc2.ark:/13960/t46q1t12q,7679237,213833709,<blank>,"Davis, Richard Harding,",New York;London;Harper & Brothers;1900.,1900,<blank>,<blank>,Fiction,The Princess Aline,1895,1895,5,fic,
mdp.39015031228201,484766,271352,PZ3.D298P,"Davis, Richard Harding,",New York;Harper & brothers;1895.,1895,<blank>,<blank>,Fiction,The Princess Aline,1895,1895,5,fic,
uc2.ark:/13960/t6j09wp0j,7655412,961544,<blank>,"Davis, Richard Harding,",New York;London;Harper & brothers;1899.,1899,<blank>,<blank>,Not fiction,The Princess Aline,1895,1895,5,fic,
uc2.ark:/13960/t4wh2jv35,6131600,2232053,<blank>,"Maclaren, Ian,","New York;Dodd, Mead;1896.",1896,<blank>,<blank>,Fiction,The days of auld lang syne,1895,1895,6,fic,
mdp.39015053232123,1187984,1802417,PZ3.W334D,"Maclaren, Ian,","New York;Dodd, Mead & company;1895.",1895,<blank>,<blank>,Not fiction,The days of auld lang syne,1895,1895,6,fic,y
nyp.33433075747463,6131600,2232053,<blank>,"Maclaren, Ian,","New York;Dodd, Mead;1896.",1896,<blank>,<blank>,Fiction,The days of auld lang syne,1895,1895,6,fic,
uc2.ark:/13960/t11n7z639,1776446,3696346,<blank>,"Zangwill, Israel,",New York;London;Harper & brothers;c1895,1895,<blank>,<blank>,Unknown;biog?,The master,1895,1895,7,fic,y
mdp.39015030113404,1776446,3696346,<blank>,"Zangwill, Israel,",New York;London;Harper & brothers;c1895,1895,<blank>,<blank>,Unknown;biog?,The master,1895,1895,7,fic,
inu.32000006980728,6060071,34146084,<blank>,"Hope, Anthony,",New York;Grosset & Dunlap;c1898].,1898,<blank>,<blank>,Fiction,The prisoner of Zenda,1894,1895,8,fic,
nyp.33433074857529,8665556,2792676,<blank>,"Hope, Anthony,",New York;Grosset & Dunlap;1898.,1898,<blank>,<blank>,Fiction,The prisoner of Zenda,1894,1895,8,fic,
uc2.ark:/13960/t6qz24g85,437096,361298,PZ3.H314Pr4,"Hope, Anthony,",New York;H. Holt and company;1898.,1898,<blank>,<blank>,Not fiction,The prisoner of Zenda;,1894,1895,8,fic,
uva.x000896627,9775589,9561798,PZ3.H314Pr3,"Hope, Anthony,",New York;H. Holt and company;1896.,1896,<blank>,<blank>,Not fiction,The prisoner of Zenda;,1894,1895,8,fic,y
mdp.39015053121193,437096,361298,PZ3.H314Pr4,"Hope, Anthony,",New York;H. Holt and company;1898.,1898,<blank>,<blank>,Not fiction,The prisoner of Zenda;,1894,1895,8,fic,
yale.39002053276151,1595622,2304140,CB417.N8,"Nordau, Max Simon,",New York;D. Appleton and company;1895.,1895,<blank>,Europe;Intellectual life;Comparative literature;Degeneration,Not fiction,Degeneration,1895,1895,9,non,y
uc2.ark:/13960/t04x5670v,7668760,8786483,<blank>,"Nordau, Max Simon,",London;William Heinemann;1898.,1898,<blank>,<blank>,Unknown,Degeneration,1895,1895,9,non,
uc1.$b405094,1786762,1215693,<blank>,"Maartens, Maarten,",New York;Harper & brothers;1895.,1895,<blank>,<blank>,Unknown;biog?,My Lady Nobody;,1895,1895,10,fic,y
uc2.ark:/13960/t21c1xm5g,1786762,1215693,<blank>,"Maartens, Maarten,",New York;Harper & brothers;1895.,1895,<blank>,<blank>,Unknown;biog?,My Lady Nobody;,1895,1895,10,fic,
