HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
mdp.39015030855798,426213,892650,PZ3.B353Ba,"Beach, Rex,",New York;A. L. Burt co.;c1908,1908,<blank>,monograph,<blank>,Fiction,The barrier,1908,1908,2,fic,
nyp.33433076026172,8690441,6209999,PZ3.S647P,"Smith, Francis Hopkinson,",New York;C. Scribner's Sons;1908.,1908,<blank>,monograph,American fiction,Fiction,Peter;,1908,1908,6,fic,y
mdp.39015063920121,781854,169844,PZ3.J646Le,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1908.,1908,<blank>,monograph,"History;Constitutional period, 1789-1809;Fiction;United States",Fiction,Lewis Rand,1908,1908,7,fic,
mdp.39015063977006,783526,1855072,PZ3.V277BL,"Vance, Louis Joseph,",Indianapolis;The Bobbs-Merrill company;c1908,1908,<blank>,monograph,<blank>,Fiction,The black bag,1908,1908,8,fic,y
njp.32101063581712,6131061,3859174,<blank>,"King, Basil,",New York;London;Harper & Brothers;1909.,1909,<blank>,monograph,<blank>,Fiction,The inner shrine,1909,1909,1,fic,
uc2.ark:/13960/t7kp7v701,7663802,3566048,PZ3.L241K2,"Lane, Elinor Macartney,",New York and London;Harper & brothers;c1909,1909,<blank>,monograph,<blank>,Fiction,Katrine;,1909,1909,2,fic,y
nyp.33433074837448,6548040,284814,<blank>,"Beach, Rex,",New York;and London;Harper & brothers;1909.,1909,<blank>,monograph,<blank>,Not fiction,The silver horde;,1909,1909,3,fic,y
pst.000006097677,9430267,316876387,<blank>,"McCutcheon, George Barr,","New York;Dodd, Mead;1909.",1909,<blank>,monograph,<blank>,Not fiction,Truxton King,1909,1909,6,fic,y
mdp.39015063923869,450234,8618558,<blank>,"Hough, Emerson,","New York;McKinlay, Stone & Mackenzie;c1909",1909,<blank>,monograph,Fiction;History;Oregon treaty;1815-1861;United States,Fiction,54-40 or fight,1909,1909,7,fic,y
uc2.ark:/13960/t91834w37,7665294,2412917,PZ3.M178Go,"MacGrath, Harold,",Indianapolis;The Bobbs-Merrill Company;c1909,1909,<blank>,monograph,<blank>,Fiction,The goose girl,1909,1909,8,fic,
nyp.33433076026172,8690441,6209999,PZ3.S647P,"Smith, Francis Hopkinson,",New York;C. Scribner's Sons;1908.,1908,<blank>,monograph,American fiction,Fiction,Peter;,1908,1909,9,fic,y
mdp.39015063938792,287741,583082,<blank>,"Locke, William John,",New York;A. L. Burt co.;1909,1909,<blank>,monograph,<blank>,Fiction,Septimus,1909,1909,10,fic,
mdp.39015005913168,281955,364467,<blank>,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1910,1,fic,
uc1.b4374271,9510750,254449003,<blank>,"Churchill, Winston,",New York;The Macmillan Co;1904.,1904,<blank>,monograph,<blank>,Not fiction,A modern chronicle,1910,1910,2,fic,
mdp.39015063930195,320655,6913204,<blank>,"King, Basil,",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The wild olive;,1910,1910,3,fic,
uc2.ark:/13960/t6j102c3z,6541611,1837073,PZ3.T428Ma,"Thurston, Katherine Cecil,",New York;London;Harper & Brothers;1910.,1910,<blank>,monograph,<blank>,Fiction,Max,1910,1910,4,fic,y
mdp.39015063938933,280997,9608936,PZ3.L796Si,"Locke, William John,",New York;A. L. Burt co.;c1910].,1910,<blank>,monograph,<blank>,Fiction,Simon the jester,1910,1910,6,fic,
uc1.b3325239,6131562,9744881,<blank>,"Williamson, C. N.",New York;A.L. Burt;c1910.,1910,<blank>,monograph,<blank>,Fiction,Lord Loveland discovers America,1910,1910,7,fic,
uc2.ark:/13960/t2g737p22,7671087,2865248,<blank>,"Rinehart, Mary Roberts,",New York;Review of Reviews;1910.,1910,<blank>,monograph,<blank>,Fiction,The window at the White Cat,1910,1910,8,fic,
mdp.39015042474208,1375117,6688398,PS3501.B222M65,"Abbott, Eleanor Hallowell,",New York;Century;1910.,1910,<blank>,monograph,<blank>,Fiction,Molly make-believe,1910,1910,9,fic,
mdp.39015002717604,1911112,1286030,<blank>,"Rinehart, Mary Roberts,",New York;The Review of reviews co.;c1909,1909,<blank>,monograph,<blank>,biog?;Unknown,When a man marries,1909,1910,10,fic,
mdp.39015011414011,781064,174043,PZ3.F238B 2,"Farnol, Jeffery,","Boston;Little, Brown, and company;1911.",1911,<blank>,monograph,<blank>,Fiction,The broad highway,1911,1911,1,fic,y
mdp.39015063550183,449531,756606,PZ3.H2459Q,"Harrison, Henry Sydnor,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,<blank>,Fiction,Queed,1911,1911,4,fic,y
uc1.b4103059,6155334,288320,PZ3.P8307H,"Stratton-Porter, Gene,","Garden City, N.Y.;Doubleday, Page & company;1911.",1911,<blank>,monograph,<blank>,Fiction,The harvester,1911,1911,5,fic,y
mdp.39015042474208,1375117,6688398,PS3501.B222M65,"Abbott, Eleanor Hallowell,",New York;Century;1910.,1910,<blank>,monograph,<blank>,Fiction,Molly make-believe,1910,1911,8,fic,
mdp.39015005913168,281955,364467,<blank>,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1911,9,fic,
uc1.b4103059,6155334,288320,PZ3.P8307H,"Stratton-Porter, Gene,","Garden City, N.Y.;Doubleday, Page & company;1911.",1911,<blank>,monograph,<blank>,Fiction,The harvester,1911,1912,1,fic,
nyp.33433074797394,6602326,291026,PS3545.R45T35 1912,"Wright, Harold Bell,",Chicago;The Book Supply Company;1912,1912,<blank>,monograph,<blank>,Fiction,Their yesterdays,1912,1912,3,fic,
nyp.33433074841747,6533491,1465555,<blank>,"Daviess, Maria Thompson,",Indianapolis;Bobbs-Merrill;c1912,1912,<blank>,monograph,<blank>,Not fiction,The melting of Molly,1912,1912,4,fic,
mdp.39015021275840,242293,291016,PZ3.N524Hoo,"Nicholson, Meredith,",Boston;New York;Houghton Mifflin company;1912.,1912,<blank>,monograph,<blank>,Fiction,A Hoosier chronicle,1912,1912,5,fic,
