docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
uc1.b3711256	Levin, Meyer	Levin, Meyer	1905-1981.	1968	1967	c	1968	1967	New York|Simon and Schuster|1968, c1967	1968		Fiction			PZ3.L578Go	421342.0	nyu	591358	3	3	3			Gore and Igor; | an extravaganza.		True	Gore and Igor; an extravaganza
inu.30000112856103	Hartley, Desmond Levi Bradshaw	Hartley, Desmond Levi Bradshaw		1968	1968	s	1968	    	London|Thames & Hudson|1968.	1968		Bibliographies|Fiction			PZ1.H255Mo	462111.0	enk	8573041	1	1	1			Modern novelists: selected readings from English fiction; | $c: selected by D. L. B. Hartley, introduced by Percy Wilson.		True	Modern novelists: selected readings from English fiction;
mdp.39015057013693	Conrad, Earl	Conrad, Earl		1968	1968	s	1968	    	New York|Modern Literary Editions Pub. Co.|c1968.	1968		Fiction	Overpopulation|Fiction|Cannibalism			3101634.0	nyu	3867230	1	1	1			The Da Vinci machine : | tales of the population explosion / | $c: by Earl Conrad.		True	The Da Vinci machine : tales of the population explosion
uc1.b4439664	Haring, Firth	Haring, Firth		1968	1968	s	1968	    	New York|W. Morrow|1968.	1968		NotFiction				448186.0	   	9517648	1	1	1			The best of intentions.		True	The best of intentions
uc1.b3435560	Smith, Wilbur A	Smith, Wilbur A		1968	1968	s	1968	    	London|Heinemann|1968.	1968		Fiction			PZ4.S6596Sh	461705.0	enk	6294395	1	1	1			Shout at the devil | $c: [by] Wilbur Smith.		True	Shout at the devil
inu.32000001592148				1968	1968	s	1968	    	Wiesbaden|Harrassowitz|1968.	1968		Fiction			PL419.V5E5 1968	3459618.0	gw 	6939654	1	1	1			The Mongol tales of the 32 wooden men <fuǒin qoyar modun kümün-ü üliger> in their Mongol version of 1746 <1686> / | $c: translated and annotated by Sushama Lohia.		True	The Mongol tales of the 32 wooden men <fuǒin qoyar modun kümün-ü üliger> in their Mongol version of 1746 <1686>
uc1.32106011946701				1968	1968	m	1968	9999	London|New York [etc.|Oxford U.P.|1968-	1968		NotFiction				17052.0	enk	7113549	1	1	1			The Oxford illustrated Old Testament; | with drawings by contemporary artists.		True	The Oxford illustrated Old Testament; with drawings by contemporary artists
mdp.39015000701733	Berto, Giuseppe	Berto, Giuseppe		1968	1968	s	1968	    	New York|Knopf|1968.	1968	[1st American ed.]	Fiction			PZ3.B4626An3	437387.0	nyu	1218601	1	1	1			Antonio in love. | $c: Translated from the Italian by William Weaver.		True	Antonio in love
mdp.39015005003499	Bawden, Nina	Bawden, Nina	1925-2012.	1968	1968	s	1968	    	New York|Harper & Row|1968	1968	[1st U.S. ed.]	Fiction			PZ4.B354Gr3	448847.0	nyu	359396	2	3	3			The grain of truth.		True	The grain of truth
uc1.$b404102	Coxhead, Nona	Coxhead, Nona		1968	1968	s	1968	    	New York|B. Geis Associates; distributed by Random House|1968	1968		Fiction			PZ3.C83967Mo	873550.0	nyu	9381936	1	1	1			The monkey-puzzle tree; | a novel.		True	The monkey-puzzle tree; a novel
