docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
hvd.hn21hn	Porter, Jane	Porter, Jane	1776-1850.	1805	1805	s	1805	    	London;Printed for Longman, Hurst, Rees, and Orme;1805.	1805	3rd ed.	Fiction|NotFiction	Stanislaus II Augustus, 1764-1795|History|English fiction|Fiction|Poland	Poland		13656348.0	enk	9713669	1	14	7	v.4	4.0	Thaddeus of Warsaw / | $c: by Miss Porter.		True	Thaddeus of Warsaw
mdp.39076006602267	Mackenzie, Henry	Mackenzie, Henry	1745-1831.	1808	1808	s	1808	    	Edinburgh;Printed by J. Ballantyne and co. for A. Constable and co.; [etc., etc.;1808.	1808	I. Man of feeling. Man of the world.--II. Man of the world (cont.)--III. Julia de Roubigné.--IV. Papers from The Mirror.--V. Papers from The Mirror (cont.) Papers from The Lounger.--VI. Papers from The Lounger (cont.)--VII. Papers from The Lounger (cont.) Life of Dr. Blacklock. Life of Lord Abercromby. Life of William Tytler. Review of the principal proceedings of the Parliament of 1784.--VIII. Poems. Dramatic pieces: The prince of Tunis. The Spanish father. False shame, or The white hypocrit.	Bibliographies|Fiction|NotFiction	Lord|1711-1792|1745-1795|Tytler, William|Blacklock, Thomas|Abercromby, Alexander Abercromby|1721-1791		PR3543.M2 1808	603184.0	stk	630145	4	10	7	v.3	3.0	The works of Henry Mackenzie, esq. ...	Julia de Roubigné	True	Julia de Roubigné
uc1.b250206	Morgan	Morgan		1809	1809	s	1809	    	London;Longman, Hurst, Rees and Orme;1809.	1809						13320201.0	enk	241917	2	7	7	v. 1	1.0	Woman		True	Woman
uc1.b250207	Morgan	Morgan		1809	1809	s	1809	    	London;Longman, Hurst, Rees and Orme;1809.	1809						13320201.0	enk	241917	1	7	7	v. 2	2.0	Woman		True	Woman
uc1.b250208	Morgan	Morgan		1809	1809	s	1809	    	London;Longman, Hurst, Rees and Orme;1809.	1809						13320201.0	enk	241917	2	7	7	v. 3	3.0	Woman		True	Woman
uc2.ark+=13960=t0zp40383	Morgan	Morgan		1809	1809	s	1809	    	London;Longman, Hurst, Rees and Orme;1809.	1809						13320201.0	enk	241917	2	7	7	v.4	4.0	Woman		True	Woman
njp.32101068166675	Cumberland, Richard	Cumberland, Richard	1732-1811.	1809	1809	s	1809	    	London;Printed for Lackington, Allen, and Co.;1809.	1809	2nd ed.	Fiction|NotFiction	English fiction			567961.0	enk	7923690	2	7	7	vol.1	1.0	John de Lancaster. |  A novel. | $c:  By Richard Cumberland, esq.		True	John de Lancaster.  A novel
uc1.b3287723	Cumberland, Richard	Cumberland, Richard	1732-1811.	1809	1809	s	1809	    	London;Printed for Lackington, Allen, and Co.;1809.	1809	2nd ed.	Fiction|NotFiction	English fiction			567961.0	enk	7923690	2	7	7	v.2	2.0	John de Lancaster. |  A novel. | $c:  By Richard Cumberland, esq.		True	John de Lancaster.  A novel
njp.32101068166659	Cumberland, Richard	Cumberland, Richard	1732-1811.	1809	1809	s	1809	    	London;Printed for Lackington, Allen, and Co.;1809.	1809	2nd ed.	Fiction|NotFiction	English fiction			567961.0	enk	7923690	2	7	7	vol.3	3.0	John de Lancaster. |  A novel. | $c:  By Richard Cumberland, esq.		True	John de Lancaster.  A novel
hvd.hwe3la	Opie, Amelia Alderson	Opie, Amelia Alderson	1769-1853.	1809	1809	s	1809	    	London;Printed for Longman, Hurst, Rees, and Orme;1809.	1809	3d. ed.	Fiction				11179816.0	enk	9708808	1	7	7	v.1	1.0	Simple tales / | $c: by Mrs. Opie.		True	Simple tales
hvd.hwe3lb	Opie, Amelia Alderson	Opie, Amelia Alderson	1769-1853.	1809	1809	s	1809	    	London;Printed for Longman, Hurst, Rees, and Orme;1809.	1809	3d. ed.	Fiction				11179816.0	enk	9708808	2	7	7	v.2	2.0	Simple tales / | $c: by Mrs. Opie.		True	Simple tales
hvd.hwe3l8	Opie, Amelia Alderson	Opie, Amelia Alderson	1769-1853.	1809	1809	s	1809	    	London;Printed for Longman, Hurst, Rees, and Orme;1809.	1809	3d. ed.	Fiction				11179816.0	enk	9708808	2	7	7	v.3	3.0	Simple tales / | $c: by Mrs. Opie.		True	Simple tales
hvd.hwe3l9	Opie, Amelia Alderson	Opie, Amelia Alderson	1769-1853.	1809	1809	s	1809	    	London;Printed for Longman, Hurst, Rees, and Orme;1809.	1809	3d. ed.	Fiction				11179816.0	enk	9708808	2	7	7	v.4	4.0	Simple tales / | $c: by Mrs. Opie.		True	Simple tales
uiuo.ark+=13960=t22b9bx7f	Cullen, Margaret	Cullen, Margaret		1802	1802	s	1802	    	London;J. Mawman;1802.	1802			English fiction			13320564.0	enk	8690927	2	6	6	v.1	1.0	Home		True	Home
uiuo.ark+=13960=t43r16n37	Cullen, Margaret	Cullen, Margaret		1802	1802	s	1802	    	London;J. Mawman;1802.	1802			English fiction			13320564.0	enk	8690927	2	6	6	v.3	3.0	Home		True	Home
uiuo.ark+=13960=t9k364f0b	Cullen, Margaret	Cullen, Margaret		1802	1802	s	1802	    	London;J. Mawman;1802.	1802			English fiction			13320564.0	enk	8690927	2	6	6	v.4	4.0	Home		True	Home
uiuo.ark+=13960=t1pg2cj2j	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1804	1804	s	1804	    	London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.	1804		Fiction|NotFiction	Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life			11287183.0	enk	8722402	1	13	6	v.1	1.0	Popular tales		True	Popular tales
uiuo.ark+=13960=t5m90x77j	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1804	1804	s	1804	    	London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.	1804		Fiction|NotFiction	Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life			11287183.0	enk	8722402	1	13	6	v.2	2.0	Popular tales		True	Popular tales
uiuo.ark+=13960=t3cz3x62n	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1804	1804	s	1804	    	London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.	1804		Fiction|NotFiction	Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life			11287183.0	enk	8722402	1	13	6	v.3	3.0	Popular tales		True	Popular tales
mdp.39015010783804	Porter, Anna Maria	Porter, Anna Maria	1780-1832.	1809	1809	s	1809	    	London;Printed for Longman, Hurst, Rees, and Orme;1809.	1809		Fiction|NotFiction	1554-1578|Sebastião|Sebastião|Fiction|King of Portugal			14032243.0	enk	169195	2	8	6	v.1	1.0	Don Sebastian; or, The House of Braganza | an historical romance ... | $c: by Miss Anna Maria Porter.		True	Don Sebastian; or, The House of Braganza an historical romance
mdp.39015010783788	Porter, Anna Maria	Porter, Anna Maria	1780-1832.	1809	1809	s	1809	    	London;Printed for Longman, Hurst, Rees, and Orme;1809.	1809		Fiction|NotFiction	1554-1578|Sebastião|Sebastião|Fiction|King of Portugal			14032243.0	enk	169195	2	8	6	v.3	3.0	Don Sebastian; or, The House of Braganza | an historical romance ... | $c: by Miss Anna Maria Porter.		True	Don Sebastian; or, The House of Braganza an historical romance
nyp.33433074910260	Moore, John	Moore, John	1729-1802.	1800	1800	s	1800	    	London;Printed for G. G. and J. Robinson;1800.	1800		NotFiction			PR3605.M5M6 1800	3890141.0	enk	670480	1	5	5	v. 1	1.0	Mordaunt. | Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality. | $c: By the author of Zeluco & Edward.		True	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality
nyp.33433074910278	Moore, John	Moore, John	1729-1802.	1800	1800	s	1800	    	London;Printed for G. G. and J. Robinson;1800.	1800		NotFiction			PR3605.M5M6 1800	3890141.0	enk	670480	1	5	5	v. 2	2.0	Mordaunt. | Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality. | $c: By the author of Zeluco & Edward.		True	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality
nyp.33433074910286	Moore, John	Moore, John	1729-1802.	1800	1800	s	1800	    	London;Printed for G. G. and J. Robinson;1800.	1800		NotFiction			PR3605.M5M6 1800	3890141.0	enk	670480	1	5	5	v. 3	3.0	Mordaunt. | Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality. | $c: By the author of Zeluco & Edward.		True	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality
uiuo.ark+=13960=t6nz8qp53	Acton, Eugenia de	Acton, Eugenia de		1801	1801	s	1801	    	London;Printed for J. Mawman ... by I. Gillet ...;1801.	1801						7881006.0	enk	8721587	1	5	5	v.1	1.0	The microcosm		True	The microcosm
uiuo.ark+=13960=t3st84p8j	Acton, Eugenia de	Acton, Eugenia de		1801	1801	s	1801	    	London;Printed for J. Mawman ... by I. Gillet ...;1801.	1801						7881006.0	enk	8721587	1	5	5	v.2	2.0	The microcosm		True	The microcosm
uiuo.ark+=13960=t4xh05574	Acton, Eugenia de	Acton, Eugenia de		1801	1801	s	1801	    	London;Printed for J. Mawman ... by I. Gillet ...;1801.	1801						7881006.0	enk	8721587	1	5	5	v.3	3.0	The microcosm		True	The microcosm
uiuo.ark+=13960=t48p6k665	Acton, Eugenia de	Acton, Eugenia de		1801	1801	s	1801	    	London;Printed for J. Mawman ... by I. Gillet ...;1801.	1801						7881006.0	enk	8721587	1	5	5	v.4	4.0	The microcosm		True	The microcosm
uiuo.ark+=13960=t6b28ds6f	Acton, Eugenia de	Acton, Eugenia de		1801	1801	s	1801	    	London;Printed for J. Mawman ... by I. Gillet ...;1801.	1801						7881006.0	enk	8721587	1	5	5	v.5	5.0	The microcosm		True	The microcosm
uiuo.ark+=13960=t2h711v1w	Roche, Regina Maria	Roche, Regina Maria	1764?-1845.	1807	1807	s	1807	    	London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.	1807						7027021.0	enk	8719317	1	5	5	v.1	1.0	The discarded son;		True	The discarded son;
uiuo.ark+=13960=t63498m8d	Roche, Regina Maria	Roche, Regina Maria	1764?-1845.	1807	1807	s	1807	    	London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.	1807						7027021.0	enk	8719317	1	5	5	v.2	2.0	The discarded son;		True	The discarded son;
uiuo.ark+=13960=t8kd2ht61	Roche, Regina Maria	Roche, Regina Maria	1764?-1845.	1807	1807	s	1807	    	London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.	1807						7027021.0	enk	8719317	1	5	5	v.3	3.0	The discarded son;		True	The discarded son;
uiuo.ark+=13960=t96692w5h	Roche, Regina Maria	Roche, Regina Maria	1764?-1845.	1807	1807	s	1807	    	London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.	1807						7027021.0	enk	8719317	1	5	5	v.4	4.0	The discarded son;		True	The discarded son;
uiuo.ark+=13960=t13n2s72x	Roche, Regina Maria	Roche, Regina Maria	1764?-1845.	1807	1807	s	1807	    	London;Printed at the Minerva Press, for Lane, Newman, and Co.;1807.	1807						7027021.0	enk	8719317	1	5	5	v.5	5.0	The discarded son;		True	The discarded son;
uiuo.ark+=13960=t5w671c7p	Mortimer, Edward	Mortimer, Edward		1807	1807	s	1807	    	London;Printed by J. Dennett, for J.F. Hughes;1807.	1807						77209367.0	enk	8719876	1	5	5	v.1	1.0	The friar Hildargo		True	The friar Hildargo
uiuo.ark+=13960=t6c25fw6c	Mortimer, Edward	Mortimer, Edward		1807	1807	s	1807	    	London;Printed by J. Dennett, for J.F. Hughes;1807.	1807						77209367.0	enk	8719876	1	5	5	v.2	2.0	The friar Hildargo		True	The friar Hildargo
uiuo.ark+=13960=t79s29w7z	Mortimer, Edward	Mortimer, Edward		1807	1807	s	1807	    	London;Printed by J. Dennett, for J.F. Hughes;1807.	1807						77209367.0	enk	8719876	1	5	5	v.3	3.0	The friar Hildargo		True	The friar Hildargo
uiuo.ark+=13960=t18k7vt5k	Mortimer, Edward	Mortimer, Edward		1807	1807	s	1807	    	London;Printed by J. Dennett, for J.F. Hughes;1807.	1807						77209367.0	enk	8719876	1	5	5	v.4	4.0	The friar Hildargo		True	The friar Hildargo
uiuo.ark+=13960=t0vq3h35w	Mortimer, Edward	Mortimer, Edward		1807	1807	s	1807	    	London;Printed by J. Dennett, for J.F. Hughes;1807.	1807						77209367.0	enk	8719876	1	5	5	v.5	5.0	The friar Hildargo		True	The friar Hildargo
mdp.39015063976966	Strutt, Joseph	Strutt, Joseph	1749-1802.	1808	1802	s	1808	    	Edinburgh;Printed by J. Ballantyne & co. for J. Murray, London; and A. Constable & co., Edinburgh;1808.	1808		Fiction				5245989.0	stk	122185	2	5	5	v.1	1.0	Queenhoo-Hall : | a romance ; and Ancient times, a drama / | $c: by the late Joseph Strutt.		True	Queenhoo-Hall : a romance ; and Ancient times, a drama
mdp.39015063977246	Strutt, Joseph	Strutt, Joseph	1749-1802.	1808	1802	s	1808	    	Edinburgh;Printed by J. Ballantyne & co. for J. Murray, London; and A. Constable & co., Edinburgh;1808.	1808		Fiction				5245989.0	stk	122185	3	5	5	v.3	3.0	Queenhoo-Hall : | a romance ; and Ancient times, a drama / | $c: by the late Joseph Strutt.		True	Queenhoo-Hall : a romance ; and Ancient times, a drama
njp.32101049431032	Howell, Thomas Bayly	Howell, Thomas Bayly	1768-1815,	1809	1809	m	1809	1826	London;R. Bagshaw [etc.;1809-26.	1809-1826		NotFiction	Trials (Treason)|Trials			13838939.0	enk	8881530	1	5	5	vol. 18 (1743-53)	18.0	Cobbett's complete collection of state trials and proceedings for high treason, | and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]		True	Cobbett's complete collection of state trials and proceedings for high treason, and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]
njp.32101049431040	Howell, Thomas Bayly	Howell, Thomas Bayly	1768-1815,	1809	1809	m	1809	1826	London;R. Bagshaw [etc.;1809-26.	1809-1826		NotFiction	Trials (Treason)|Trials			13838939.0	enk	8881530	1	5	5	vol. 19 (1753-71)	19.0	Cobbett's complete collection of state trials and proceedings for high treason, | and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]		True	Cobbett's complete collection of state trials and proceedings for high treason, and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]
njp.32101000817351	Howell, Thomas Bayly	Howell, Thomas Bayly	1768-1815,	1809	1809	m	1809	1826	London;R. Bagshaw [etc.;1809-26.	1809-1826		NotFiction	Trials (Treason)|Trials			13838939.0	enk	8881530	2	5	5	vol. 28 (1802-03)	28.0	Cobbett's complete collection of state trials and proceedings for high treason, | and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]		True	Cobbett's complete collection of state trials and proceedings for high treason, and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]
njp.32101047811474	Howell, Thomas Bayly	Howell, Thomas Bayly	1768-1815,	1809	1809	m	1809	1826	London;R. Bagshaw [etc.;1809-26.	1809-1826		NotFiction	Trials (Treason)|Trials			13838939.0	enk	8881530	1	5	5	vol.32 (1817)	32.0	Cobbett's complete collection of state trials and proceedings for high treason, | and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]		True	Cobbett's complete collection of state trials and proceedings for high treason, and other crimes and misdemeanor from the earliest period to the present time ... from the ninth year of the reign of King Henry, the Second, A.D.1163, to ... [George IV, A.D.1820]
