"docid"	"author"	"realname"	"pseudonym"	"gender"	"nationality"	"authordate"	"inferreddate"	"firstpub"	"latestcomp"	"allcopiesofwork"	"copiesin25yrs"	"enumcron"	"imprint"	"genres"	"subjects"	"category"	"shorttitle"
"uc1.$b605179"	"Simonov, Konstantin Mikhaĭlovich"			"m"	"ru"	"1915-1979."	1940		1940	2	2		"London|New York|Hutchinso"	"Fiction"	"Fiction|Stalingrad, Battl"	"novel"	"Days and nights, a novel"
"nyp.33433082371778"	"Orr, Lucinda (Lee)"						1871		1871	1	1		"Baltimore;J. Murphy and c"	"NotFiction"	"Manners and customs|fast|"	"nonfic"	"Journal of a young lady of Virginia. 1782"
"uc1.b4107900"	"Holcroft, Thomas"			"m"	"uk"	"1745-1809."	1805		1805	4	3	"v.3"	"London;Longman, Hurst, Re"	"Fiction"		"novel"	"Memoirs of Bryan Perdue; a novel"
"uc1.32106015584854"	"Smith, Sarah"			"f"	"us"	"1947-"	1996	1996	1996	1	1		"New York|Ballantine Books"	"Fiction"	"France|Murder|Fiction|Fic"	"novel"	"The knowledge of water"
"uc1.b3435563"	"Anthony, Evelyn"	"Ward-Thomas, Evelyn"		"f"	"uk"	"1928-."	1970	1970	1970	1	1		"New York|Coward-McCann|19"	"Fiction"		"novel"	"The assassin"
"wu.89099752115"	"Henham, Ernest G. (Ernest George)"		"Trevena, John"	"m"	"uk"	"1870-1948."	1909		1909	2	2		"London;A. Rivers, ltd.;19"	"Fiction"		"novel"	"Granite"
"uc1.$b164461"	"Frank, Leonhard"			"m"	"de"	"1882-1961."	1932		1932	1	1		"Mayfair|Grayson & Grayson"	"NotFiction"		"novel"	"The singers : a novel"
"uc1.b4091440"							1935		1935	1	1		"New York|Farrar & Rinehar"	"NotFiction"		"shortstories"	"The President's mystery story"
"uc1.b4084772"	"Seager, Allan"			"m"	"us"	"1906-1968."	1964		1964	2	2		"New York|McGraw-Hill|1964"	"Fiction"		"shortstories"	"A frieze of girls : memoirs as fiction"
"uc1.b4713439"	"Collins, Wilkie"			"m"	"uk"	"1824-1889."	1900	1890	1889	1	1	"v. 28"	"New York|P. F. Collier|19"	"Fiction"		"novel"	"Blind Love"
"uiuo.ark+=13960=t54f2d76n"	"Reid, Mayne"			"m"	"uk"	"1818-1883."	1861	1861	1861	3	3	"v.1"	"London;Richard Bentley;18"			"novel"	"The wild huntress"
"uiuo.ark+=13960=t3hx1x46t"	"Oliphant"	"Oliphant, Margaret"		"f"	"uk"	"1828-1897."	1866		1866	2	2	"v.2"	"Edinburgh;W. Blackwood;18"		"823OL3M1866"	"novel"	"Miss Marjoribanks"
"uc1.32106009578474"	"Bernhard, Thomas"			"m"	"aus"	"1931-1989."	1991	1983	1991	1	1		"New York|Knopf|1991."	"Fiction"	"Fiction|Pianists|Gould, G"	"novel"	"The loser"
"uc1.b287479"	"Opie, Amelia Alderson"			"f"	"uk"	"1769-1853."	1812		1812	3	3	"v. 3"	"London;Longman, Hurst, Re"			"novel"	"Temper"
"hvd.hxjg13"	"abate, Furbo, Francesco"			"m"	"it"	"b. 1711."	1820		1820	1	1		"London;Printed for Sir Ri"	"Fiction"		"reprint"	"Andrew of Padua, the improvisatore : a tale from the Italian of the Abbate Furbo ; and The vindictive father from the Spanish of Leandra of Valladerras"
"uc1.$b244956"	"Stern, G. B. (Gladys Bronwyn)"			"f"	"uk"	"1890-1973."	1927		1927	1	1		"London|Chapman and Hall|1"	"Fiction"		"shortstories"	"Jack a' Manory"
"uiuo.ark+=13960=t9571t58n"	"Grattan, Thomas Colley"			"m"	"ir"	"1792-1864."	1823		1823	1	1	"v.1-2"	"London;G. and W.B. Whitta"			"shortstories"	"High-ways and by-ways;"
"njp.32101066457704"	"Harris, Samuel Smith"			"m"	"us"	"1841-1888."	1868		1868	1	1		"New York;Blelock & Co.;18"	"Fiction"		"novel"	"Sheltern: A novel"
"pst.000027670989"	"Colver, Anne"	"Graff, Polly Anne"		"f"	"us"	"1908-1991."	1965		1965	1	1		"New York|Holt, Rinehart a"	"NotFiction"	"1818-1882|Lincoln, Mary T"	"novel"	"Mr. Lincoln's wife"
"uc2.ark+=13960=t4pk08k78"	"Church, Pharcellus"			"m"	"us"	"1801-1886."	1853		1853	1	1		"Boston;Jenks, Hickling an"			"novel"	"Mapleton, or, More work for the Maine law"
"mdp.39015013763522"	"Druon, Maurice"			"m"	"fr"	"1918-2009."	1959		1959	1	1		"London|Hart-Davis|1959."	"Short stories"		"shortstories"	"The curtain falls : a modern trilogy"
"mdp.39015066894745"	"Pina, Gabrielle"			"f"	"us"		2006		2006	1	1		"New York|One World/Ballan"	"Psychological fiction|Fic"	"Fiction|Multiple personal"	"novel"	"Chasing Sophea : a novel"
"uiuo.ark+=13960=t0gt62d3b"	"Hardy, Iza Duffus"			"f"	"uk"	"1850-1922."	1877	1876	1877	3	3	"v.2"	"London;Hurst;1877."			"novel"	"Glencairn"
"nyp.33433071373652"	"Mme., Du Hausset"					"approximately 1720-"	1827		1827	1	1		"New York;Elam Bliss;1827."	"Biography|NotFiction"	"marquise de|Pompadour, Je"	"nonfic"	"The private memoirs of Madame Du Hausset, lady's maid to Madame de Pompadour"
"hvd.32044058243072"	"Countess of, Blessington, Marguerite"	"Blessington, Marguerite, Countess"		"f"	"ir"	"1789-1849."	1834		1834	2	2	"v.1"	"London;R. Bently;1834."	"Fiction"	"History|Fiction|1800-1848"	"novel"	"Grace Cassidy; or, The repealers. A novel"
"uc2.ark+=13960=t4zg6j18m"	"Tompkins, Juliet Wilbor"			"f"	"us"	"1871-1956."	1913		1913	2	2		"Garden City, N.Y.;Doubled"			"novel"	"Ever after"
"nyp.33433082547013"	"Optic, Oliver"	"Adams, William Taylor"		"m"	"us"	"1822-1897."	1864		1864	1	1		"Boston;Lee and Shepard .."	"Juvenile audience|Fiction"		"juvenile"	"Dolly and I : a story for little folks"
"uva.x030758866"	"Ludlow, James M. (James Meeker)"			"m"	"us"	"1841-1932."	1905		1905	2	2		"New York, Chicago, etc.;F"	"Fiction"	"Later, 13th, 14th, and 15"	"novel"	"Sir Raoul [by] James M. Ludlow; a tale of the theft of an empire"
"njp.32101007065988"	"Brunton, Mary"			"f"	"uk"	"1778-1818."	1814		1814	5	4	"vol.2"	"Edinburgh;Printed by G. R"	"Fiction|NotFiction"	"Brunton, Mary|1778-1818"	"novel"	"Discipline; a novel"
"uc1.$b250"	"Hutchinson, Alfred"			"m"	"sa"	"1924-1972."	1960		1960	3	3		"New York|John Day Co.|196"	"NotFiction"	"Indigenous peoples|Africa"	"nonfic"	"Road to Ghana"
"inu.30000105822773"	"Qian, Gang"					"1953-"	1989		1989	1	1		"Beijing|Foreign Languages"	"NotFiction"	"Earthquakes|Tangshan (Heb"	"nonfic"	"The great China earthquake"
"njp.32101064382763"	"Thomas, W. Moy (William Moy)"			"m"	"uk"	"1828-1910."	1859		1859	2	2	"vol.1"	"London;S. Low, Son;1859."	"Fiction"		"shortstories"	"When the snow falls / by W. Moy Thomas"
"uc1.b3739863"							1983		1981	1	1		"Cape Town|Oxford Universi"	"Fiction"	"Short stories, South Afri"	"shortstories"	"Between the thunder and the sun : an anthology of short stories"
"mdp.39015062654598"							1922		1922	1	1		"Chicago [Ill.;A. Flanagan"	"Fiction"	"Silhouettes|In art|Crusoe"	"juvenile"	"Robinson Crusoe silhouettes : the complete story of Robinson Crusoe in silhouettes"
"hvd.32044086801974"							1831		1831	1	1	1	"New York;Harper;1831."	"NotFiction"		"shortstories"	"The club-book"
