docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob
njp.32101068166675	Cumberland, Richard	Cumberland, Richard	1732-1811.	1809	1809	s	1809	    	London;Printed for Lackington, Allen, and Co.;1809.	1809	2nd ed.	Fiction|NotFiction	English fiction			567961.0	enk	7923690	2	3.0	3.0	vol.1	1.0	John de Lancaster. |  A novel. | $c:  By Richard Cumberland, esq.		True	John de Lancaster.  A novel	0.08971825639177301	0.09138131967168298
uc1.b3287723	Cumberland, Richard	Cumberland, Richard	1732-1811.	1809	1809	s	1809	    	London;Printed for Lackington, Allen, and Co.;1809.	1809	2nd ed.	Fiction|NotFiction	English fiction			567961.0	enk	7923690	2	3.0	3.0	v.2	2.0	John de Lancaster. |  A novel. | $c:  By Richard Cumberland, esq.		True	John de Lancaster.  A novel	0.09152722308580588	0.09277739404367916
njp.32101068166659	Cumberland, Richard	Cumberland, Richard	1732-1811.	1809	1809	s	1809	    	London;Printed for Lackington, Allen, and Co.;1809.	1809	2nd ed.	Fiction|NotFiction	English fiction			567961.0	enk	7923690	2	3.0	3.0	vol.3	3.0	John de Lancaster. |  A novel. | $c:  By Richard Cumberland, esq.		True	John de Lancaster.  A novel	0.12772690993352148	0.009397207797877996
nnc1.cu58503331	Bage, Robert	Bage, Robert	1728-1801.	1809	1801	s	1809	    	London;Newman;1809.	1809	3d. ed.	Fiction|NotFiction				35159672.0	enk	8434471	1	3.0	3.0	v.1	1.0	Man as he is not; or, Hermsprong, | a novel ...		True	Man as he is not; or, Hermsprong, a novel	0.2842282337929883	0.4068430902452798
njp.32101073593145	Baronne d', Oberkirch, Henriette Louise von Waldner	Baronne d', Oberkirch, Henriette Louise von Waldner	1754-1803.	1852	1803	s	1852	    	London;Colburn and co.;1852.	1852		NotFiction	Louis XVI, 1774-1793|History|Social life and customs	France	DC137.5.O2A3	10667119.0	enk	6065521	3	3.0	3.0	vol.3	3.0	Memoirs of the Baroness d'Oberkirch, countess de Montbrison. | $c: Written by herself, and ed. by her grandson, the Count de Montbrison ...		False	Memoirs of the Baroness d'Oberkirch, countess de Montbrison	0.7606989082457121	0.2117780772163747
nyp.33433074917844	Carter, Elizabeth	Carter, Elizabeth	1717-1806.	1809	1806	s	1809	    	London;F. C. and J. Rivington;1809.	1809		London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments	Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine		PR3339.C4A8 1809	15218151.0	enk	283471	2	2.25	2.25	v. 1	1.0	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.		True	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington	0.8375683451078344	0.9229019084203468
nyp.33433074917851	Carter, Elizabeth	Carter, Elizabeth	1717-1806.	1809	1806	s	1809	    	London;F. C. and J. Rivington;1809.	1809		London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments	Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine		PR3339.C4A8 1809	15218151.0	enk	283471	2	2.25	2.25	v. 2	2.0	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.		True	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington	1.0	0.0
nyp.33433074917877	Carter, Elizabeth	Carter, Elizabeth	1717-1806.	1809	1806	s	1809	    	London;F. C. and J. Rivington;1809.	1809		London|NotFiction|England|ContainsBiogMaterial|Publishers' advertisments	Vesey, Elizabeth Vesey|1715?-1791|Carter, Elizabeth|1717-1806|1721-1770|Correspondence|Talbot, Catherine		PR3339.C4A8 1809	15218151.0	enk	283471	2	2.25	2.25	v. 4	4.0	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : | to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington.		True	A series of letters between Mrs. Elizabeth Carter and Miss Catherine Talbot, from the year 1741 to 1770 : to which are added, Letters from Mrs. Elizabeth Carter to Mrs. Vesey, between the years 1763 and 1787 : published from the original manuscripts in the posession of the Rev. Montagu Pennington	1.0	0.0
uiuo.ark+=13960=t1pg2cj2j	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1804	1804	s	1804	    	London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.	1804		Fiction|NotFiction	Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life			11287183.0	enk	8722402	1	9.0	3.0	v.1	1.0	Popular tales		True	Popular tales	0.0	1.0
uiuo.ark+=13960=t5m90x77j	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1804	1804	s	1804	    	London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.	1804		Fiction|NotFiction	Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life			11287183.0	enk	8722402	1	9.0	3.0	v.2	2.0	Popular tales		True	Popular tales	0.2561769954645549	0.8922170447358553
uiuo.ark+=13960=t3cz3x62n	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1804	1804	s	1804	    	London;Printed for J. Johnson, St. Paul's Church-yard, by C. Mercier and Co.;1804.	1804		Fiction|NotFiction	Juvenile literature|X823ED3PO|Children's stories, English|Conduct of life			11287183.0	enk	8722402	1	9.0	3.0	v.3	3.0	Popular tales		True	Popular tales	0.0	1.0
