docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob
uiuo.ark+=13960=t96694r3k	Carleton, William	Carleton, William	1794-1869.	1830	1830	s	1830	    	Dublin;W. Curry;1830.	1830		Fiction|NotFiction	Peasants|Peasantry|823C19TR1834A|Ireland|Fiction|Irish fiction|X823C19TR			15147397.0	ie 	8723857	1	17.5	4.0	v. 1	1.0	Traits and stories of the Irish peasantry		True	Traits and stories of the Irish peasantry	0.390677214426689	0.14857457915258213
uiuo.ark+=13960=t6446cc2s	Carleton, William	Carleton, William	1794-1869.	1830	1830	s	1830	    	Dublin;W. Curry;1830.	1830		Fiction|NotFiction	Peasants|Peasantry|823C19TR1834A|Ireland|Fiction|Irish fiction|X823C19TR			15147397.0	ie 	8723857	1	17.5	4.0	v. 2	2.0	Traits and stories of the Irish peasantry		True	Traits and stories of the Irish peasantry	0.4058644474178573	0.04139463954953132
hvd.hnp7n1	James, G. P. R. (George Payne Rainsford)	James, G. P. R. (George Payne Rainsford)	1801?-1860.	1830	1830	s	1830	    	New York;Printed by J. & J. Harper;1830.	1830		Fiction|NotFiction				4083486.0	nyu	9719610	2	4.0	4.0	v.1	1.0	"De L'Orme / | $c: By the author of ""Richelieu,"" and ""Darnley."""		True	De L'Orme	0.07633958001481031	0.016471177216604724
hvd.hwecmr	James, G. P. R. (George Payne Rainsford)	James, G. P. R. (George Payne Rainsford)	1801?-1860.	1830	1830	s	1830	    	New York;Printed by J. & J. Harper;1830.	1830		Fiction|NotFiction				4083486.0	nyu	9719610	2	4.0	4.0	v.2	2.0	"De L'Orme / | $c: By the author of ""Richelieu,"" and ""Darnley."""		True	De L'Orme	0.09137136550417704	0.0526130072222591
dul1.ark+=13960=t0tq6s74b	Bacon, Delia Salter	Bacon, Delia Salter	1811-1859.	1831	1831	s	1831	    	New Haven;A. H. Maltby;New York;G. and C. and H. Carvill, and J. Leavitt; [etc., etc.;1831.	1831					PZ3.B132	230997.0	ctu	666449	4	4.0	4.0			Tales of the Puritans		True	Tales of the Puritans	0.035733825297985605	0.1039446876757976
nyp.33433074913728	Godwin, William	Godwin, William	1756-1836.	1831	1831	s	1831	    	New York;Harper;1831.	1831	Harper's stereotype ed.	Fiction|NotFiction				3458993.0	nyu	8663888	1	6.0	4.0	v. 1	1.0	Adventures of Caleb Williams, | $c: by William Godwin.		True	Adventures of Caleb Williams	0.16634112529357445	0.010614021073416793
nyp.33433074913710	Godwin, William	Godwin, William	1756-1836.	1831	1831	s	1831	    	New York;Harper;1831.	1831	Harper's stereotype ed.	Fiction|NotFiction				3458993.0	nyu	8663888	1	6.0	4.0	v. 2	2.0	Adventures of Caleb Williams, | $c: by William Godwin.		True	Adventures of Caleb Williams	0.22183754087386548	0.00856875780155025
njp.32101068596525	Cooper, James Fenimore	Cooper, James Fenimore	1789-1851.	1832	1832	s	1832	    	London;Richard Bentley, ...;1832.	1832	Rev., corr, and illus. with a new preface, notes, etc. /|by the author.	Fiction|NotFiction	Revolution, 1775-1783|Revolution|Fiction|History			32041917.0	enk	1422236	1	9.0	4.0			Lionel Lincoln, or, The leaguer of Boston / | $c: by J.F. Cooper.		True	Lionel Lincoln, or, The leaguer of Boston	0.19512056066142752	0.009689090480252769
hvd.32044005619440	Baron, Lytton, Edward Bulwer Lytton	Lytton, Edward Bulwer Lytton, Baron	1803-1873.	1832	1832	s	1832	    	Paris;Baudry's Foreign Library;1832.	1832		Fiction|NotFiction	Fiction|1704-1759|Aram, Eugene			16910308.0	fr 	5652156	1	8.0	4.0			"Eugene Aram : | A tale / | $c: By the author of ""Pelham,"" ""Devereux,"" &c. ..."		True	Eugene Aram : A tale	0.12188595309006645	0.010620411717908156
uc1.$b282027	[Greene, Asa]	[Greene, Asa]		1833	1833	s	1833	    	New York;W. Pearson, P. Hill, and others;1833.	1833			Social life and customs|United States		F123.G79	6747490.0	nyu	156113	4	4.0	4.0			Travels in America		True	Travels in America	0.7410711474526704	0.3903397160429508
mdp.39015063939972	Lawrence, Jonathan	Lawrence, Jonathan	1807-1833.	1833	1833	s	1833	    	New York;Sleight & Van Norden, print.;1833.	1833		NotFiction			PS2232.L815 1833	3601744.0	nyu	323944	4	4.0	4.0			A selection from the writings of the late Jonathan Lawrence, junior.		True	A selection from the writings of the late Jonathan Lawrence, junior	0.04955616741801053	0.0135766082466782
nyp.33433075988240	Abbott, John S. C. (John Stevens Cabot)	Abbott, John S. C. (John Stevens Cabot)	1805-1877.	1833	1833	s	1833	    	New York;The American tract society;1833?	1833		Juvenile audience|NotFiction	Conduct of life|Children			2956901.0	nyu	1921196	1	4.0	4.0			The child at home, or, The principles of filial duty, familiarly illustrated / | $c: by John S. C. Abbott.		True	The child at home, or, The principles of filial duty, familiarly illustrated	0.3703053529838298	0.6263917086227117
uiuo.ark+=13960=t7pn90f92	Hall, James	Hall, James	1793-1868.	1833	1833	 	1833	    	Philadelphia;Key & Biddle;1833.	1833		Fiction|UnknownGenre|NotFiction	Indians of North America|West (U.S.)|American fiction|Fiction|Frontier and pioneer life			1042770.0	xx 	8720967	1	6.0	4.0			Legends of the West		True	Legends of the West	0.3152856241064645	0.07350113070999276
uc1.b3322523	Gleig, G. R. (George Robert)	Gleig, G. R. (George Robert)	1796-1888.	1834	1834	s	1834	    	London;R. Bentley;1834.	1834		Fiction|NotFiction			PZ3.G483A???_	12326794.0	enk	779656	3	4.0	4.0	v.1	1.0	"Allan Breck. | $c: By the author of ""The subaltern,"" ""Country curate,"" etc."		True	Allan Breck	0.062752351838926	0.0021439145418619514
uiuo.ark+=13960=t83j3v78x	Gleig, G. R	Gleig, G. R. (George Robert)	1796-1888.	1834	1834	s	1834	    	London;R. Bentley;1834.	1834		Fiction|NotFiction			PZ3.G483A???_	12326794.0	enk	779656	3	4.0	4.0	v.2	2.0	Allan Breck		True	Allan Breck	0.06455625817148014	0.010858045002793791
uc1.b3311907	Wilson, John	Wilson, John	1951 Aug. 2-	1849	1849	s	1849	    	Philadelphia;Carey & Hart;1849.	1849		Fiction|NotFiction	1785-1854|Wilson, John			11379266.0	pau	6130394	2	9.0	9.0			The recreations of Christopher North [pseud.] ...		True	The recreations of Christopher North [pseud.]	0.5337032944220401	0.21569612863374865
nyp.33433074954730	Dickens, Charles	Dickens, Charles	1812-1870.	1848	1848	s	1848	    	"New York;John Wiley (of late firm of ""Wiley and Putnam"") ...;1848."	1848		Domestic fiction|ContainsBiogMaterial|NotFiction|Bibliographies|Fiction	Dickens, Charles|English fiction|Family-owned business enterprises|Fiction|Businesspeople|Fathers and daughters|Problem families|1812-1870			30470506.0	nyu	8665272	1	37.5	10.0	v. 1	1.0	Dombey and son / | $c: by Charles Dickens ; with illustrations by H.K. Browne.		True	Dombey and son	0.14666510168680008	0.11504683905151172
nyp.33433074911029	Sir, Murray, Charles Augustus	Murray, Charles Augustus, Sir	1806-1895.	1844	1844	s	1844	    	London;R. Bentley;1844.	1844		Fiction|NotFiction	Kansas|Indians of North America|Nebraska|Northwest, Pacific|English fiction|Fiction			4966785.0	enk	672900	2	9.0	8.0	v. 1	1.0	The prairie-bird. | $c: By the Hon. Charles Augustus Murray ...		True	The prairie-bird	0.29447742332721843	0.0659508021037444
nyp.33433074911037	Sir, Murray, Charles Augustus	Murray, Charles Augustus, Sir	1806-1895.	1844	1844	s	1844	    	London;R. Bentley;1844.	1844		Fiction|NotFiction	Kansas|Indians of North America|Nebraska|Northwest, Pacific|English fiction|Fiction			4966785.0	enk	672900	2	9.0	8.0	v. 2	2.0	The prairie-bird. | $c: By the Hon. Charles Augustus Murray ...		True	The prairie-bird	0.038197560253262285	0.0856108440037135
nyp.33433074911045	Sir, Murray, Charles Augustus	Murray, Charles Augustus, Sir	1806-1895.	1844	1844	s	1844	    	London;R. Bentley;1844.	1844		Fiction|NotFiction	Kansas|Indians of North America|Nebraska|Northwest, Pacific|English fiction|Fiction			4966785.0	enk	672900	2	9.0	8.0	v. 3	3.0	The prairie-bird. | $c: By the Hon. Charles Augustus Murray ...		True	The prairie-bird	0.020159535847810543	0.05600936170209743
uc1.$b29351	Carlyle, Thomas	Carlyle, Thomas	1795-1881.	1845	1845	n	1845	    	Philadelphia;Carey & Hart;1845.	1845		NotFiction	Scottish essays			1843829.0	pau	6561276	2	10.0	8.0			Critical and miscellaneous essays		True	Critical and miscellaneous essays	0.791432239664077	0.025723508641605632
mdp.39015012318690	Allston, Washington	Allston, Washington	1779-1843.	1841	1841	s	1841	    	Boston;C. C. Little and J. Brown;1841.	1841		Fiction|NotFiction			PZ3.A442M2	229073.0	mau	242940	5	7.0	7.0			Monaldi: | a tale ...		True	Monaldi: a tale	0.03159626285693889	0.00477100851116961
nyp.33433074944780	Cooper, James Fenimore	Cooper, James Fenimore	1789-1851.	1842	1842	s	1842	    	Philadelphia;Lea and Blanchard;1842.	1842		Fiction|NotFiction	Nelson, Horatio Nelson|Caraccioli, Francesco|American fiction|Fiction|1758-1805|Viscount|Napoleonic Wars, 1800-1815			14254435.0	pau	7487333	1	11.0	7.0	v. 1-2	1.0	"The Wing-and-wing, or, Le Feu-follet; | a tale, | $c: by the author of ""The pilot"", ""Red Rover"", etc."		True	The Wing-and-wing, or, Le Feu-follet; a tale	0.10605872654148077	0.0169549602946562
mdp.39015063869922	Haliburton, Thomas Chandler	Haliburton, Thomas Chandler	1796-1865.	1843	1843	s	1843	    	London;R. Bentley;1843.	1843	Second edition.	Fiction|NotFiction				12233886.0	enk	245731	1	7.0	7.0	v.1-2	1.0	"The attaché; | or, Sam Slick in England. | $c: By the author of ""The clockmaker; or, Sayings and doings of Sam Slick."""		True	The attaché; or, Sam Slick in England	0.2469979669211412	0.1380683356637169
inu.39000005965517	Haliburton, Thomas Chandler	Haliburton, Thomas Chandler	1796-1865.	1843	1843	s	1843	    	London;R. Bentley;1843.	1843	Second edition.	Fiction|NotFiction				12233886.0	enk	245731	1	7.0	7.0			"The attaché; | or, Sam Slick in England. | $c: By the author of ""The clockmaker; or, Sayings and doings of Sam Slick."""		True	The attaché; or, Sam Slick in England	0.15066272514656087	0.19061036276772453
uc2.ark+=13960=t3xs5t78r	Charlotte Elizabeth	Charlotte Elizabeth	1790-1846.	1843	1843	s	1843	    	New York;M.W. Dodd;1843.	1843		Fiction|NotFiction	Jews|English fiction|Fiction		BV4515.T6	3886193.0	nyu	5272709	3	7.0	7.0			Judah's lion		True	Judah's lion	0.1660813681551088	0.18554589144398712
nyp.33433076096480	Baron, Lytton, Edward Bulwer Lytton	Lytton, Edward Bulwer Lytton, Baron	1803-1873.	1849	1849	s	1849	    	Leipzig;B. Tauchnitz;1849.	1849	Copyright ed.	Fiction|NotFiction	English fiction			37925481.0	gw 	8681504	1	14.25	7.0	v. 1	1.0	The Caxtons : | a family picture / | $c: by Edward Bulwer Lytton.		True	The Caxtons : a family picture	0.1314788575983336	0.13925223154909713
nyp.33433076096472	Baron, Lytton, Edward Bulwer Lytton	Lytton, Edward Bulwer Lytton, Baron	1803-1873.	1849	1849	s	1849	    	Leipzig;B. Tauchnitz;1849.	1849	Copyright ed.	Fiction|NotFiction	English fiction			37925481.0	gw 	8681504	1	14.25	7.0	v. 2	2.0	The Caxtons : | a family picture / | $c: by Edward Bulwer Lytton.		True	The Caxtons : a family picture	0.11219946644291016	0.010917083438613669
mdp.39015063525888	Ingoldsby, Thomas	Ingoldsby, Thomas	1788-1845.	1866	1845	s	1866	    	London;R. Bentley;1866.	1866	[New ed.]	Fiction|NotFiction				3912198.0	enk	426459	1	9.0	7.0			The Ingoldsby legends, or, Mirth and marvels, | $c: by Thomas Ingoldsby, esquire [pseud. of R. H. Barham].		True	The Ingoldsby legends, or, Mirth and marvels	0.5327101609192693	0.0441050922831731
uc1.b4105174	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1895	1849	s	1895	    	London;New York;Macmillan;1895.	1895	Castle Rackrent / Edgeworth, Maria, 1767-1849 -- Absentee / Edgeworth, Maria, 1767-1849.	Domestic fiction|NotFiction|Pastoral fiction|Fiction|UnknownGenre|Bibliographies	larpcal|Rural conditions|Rich people|Landowners|Fiction|Literatura Expressao Inglesa|Poor families|Administration of estates|Landlord and tenant|Absentee landlordism	Ireland	PZ3.E23C	757628.0	xx 	6156205	2	10.0	7.0	(copy 1)		Castle Rackrent and The absentee. | $c: Illustrated by Chris Hammond, with an introd. by Anne Thackeray Ritchie.		False	Castle Rackrent and The absentee	0.08496000126233506	0.04146221641833559
uc1.b3324274	Lever, Charles James	Lever, Charles James	1806-1872.	1841	1841	s	1841	    	Dublin;W. Curry, Jun;1841.	1841		Fiction|NotFiction	Peninsular War, 1807-1814|823L57C|Fiction			3436527.0	ie 	6130872	2	15.666666666666664	6.666666666666668	v.1	1.0	Charles O'Malley, the Irish dragoon / | $c: edited by Harry Lorrequer [i.e. C. J. Lever] ; with illustrations by Phiz [i.e. H. K. Browne].		True	Charles O'Malley, the Irish dragoon	0.08456305307178852	0.007799560010654316
uc1.b3324275	Lever, Charles James	Lever, Charles James	1806-1872.	1841	1841	s	1841	    	Dublin;W. Curry, Jun;1841.	1841		Fiction|NotFiction	Peninsular War, 1807-1814|823L57C|Fiction			3436527.0	ie 	6130872	2	15.666666666666664	6.666666666666668	v.2	2.0	Charles O'Malley, the Irish dragoon / | $c: edited by Harry Lorrequer [i.e. C. J. Lever] ; with illustrations by Phiz [i.e. H. K. Browne].		True	Charles O'Malley, the Irish dragoon	0.06661445753290132	0.003889737087149276
uc2.ark+=13960=t1vd6qb69	Lever, Charles James	Lever, Charles James	1806-1872.	1841	1841	s	1841	    	Dublin;W. Curry, Jun;1841.	1841		Fiction|NotFiction	Peninsular War, 1807-1814|823L57C|Fiction			3436527.0	ie 	6130872	1	15.666666666666664	6.666666666666668			Charles O'Malley, the Irish dragoon		True	Charles O'Malley, the Irish dragoon	0.0954224086013253	0.015262791668573163
nyp.33433082529433	Abbott, Jacob	Abbott, Jacob	1803-1879.	1840	1840	s	184u	    	Philadelphia;Hogan and Thompson;184-?	"<estimate=""[184-?]"">"		Juvenile audience|Fiction|NotFiction	Science|Children's stories|Water|Popular works|Children's literature|Juvenile literature			37004956.0	pau	8659931	1	6.0	6.0	Part 1 (Water)	1.0	The Rollo philosophy. | $c: By the author of the Rollo books.		True	The Rollo philosophy	0.13211492493067134	0.9999692819400278
njp.32101068163136	Ainsworth, William Harrison	Ainsworth, William Harrison	1805-1882.	1840	1840	q	1840	1850	London;G. Routledge and Sons;184-?	"<estimate=""[184-?]"">"		Fiction|UnknownGenre|NotFiction	Gunpowder Plot, 1605|Fiction|Fawkes, Guy|1570-1606			5109670.0	enk	8968197	1	7.0	6.0			Guy Fawkes : | or the gunpowder treason ; an historical romance / | $c: William Ainsworth.		True	Guy Fawkes : or the gunpowder treason ; an historical romance	0.2466806389787796	0.12628228363337665
mdp.39015030996808	Stephens, Ann S. (Ann Sophia)	Stephens, Ann S. (Ann Sophia)	1810-1886.	1843	1843	s	1843	    	Philadelphia;T. B. Peterson and brothers;1843.	1843	2d ed.	ContainsBiogMaterial|NotFiction|Fiction	Social life and customs|New York (N.Y.)|American fiction			65841898.0	pau	123632	1	6.0	6.0			High life in New York. | $c: By Jonathan Slick, esq. [pseud.] of Weathersfield, Conn. A series of letters to Mr. Zephariah Slick, justice of the peace, and deacon of the church over to Weathersfield in the state of Connecticut.		True	High life in New York	0.6249398440016376	0.16247337674486648
loc.ark+=13960=t77s80r8k	Farnham, Eliza W	Farnham, Eliza W. (Eliza Wood)	1815-1864.	1846	1846	s	1846	    	New York;Harper & brothers;1846.	1846		UnknownGenre	Social life and customs|Description and travel|Illinois		F545.F23	485763.0	nyu	1264936	5	6.0	6.0			Life in prairie land		True	Life in prairie land	0.614830269794085	0.01597462267734517
nyp.33433082469630	Mitchell, Donald Grant	Mitchell, Donald Grant	1822-1908.	1847	1847	s	1847	    	New York;Harper & brothers;1847.	1847		NotFiction	Description and travel	Europe		1711198.0	nyu	450328	3	6.0	6.0			Fresh gleanings; or, A new sheaf from the old fields of continental Europe / | $c: by Ik. Marvel.		True	Fresh gleanings; or, A new sheaf from the old fields of continental Europe	0.0	0.0
mdp.39015018060106	Schefer, Leopold	Schefer, Leopold	1784-1862.	1848	1848	s	1848	    	London;J. Chapman;1848.	1848		Fiction	1471-1528|D???_rer, Albrecht|Dürer, Albrecht|Fiction		PT2461.S9K8613 1848 Rosenwald Coll	5420105.0	enk	1464513	1	6.0	6.0			The artist's married life : | being that of Albert Dürer / | $c: translated from the German of Leopold Schefer / by Mrs. J.R. Stodart.		True	The artist's married life : being that of Albert Dürer	0.5303587838072865	0.005716158049046389
njp.32101067628386	Arthur, T. S. (Timothy Shay)	Arthur, T. S. (Timothy Shay)	1809-1885.	1849	1849	t	1853	1849	Boston;L.P. Crown;Philadelphia;J.W. Bradley;1853, c1849.	1853		Fiction|NotFiction				15715099.0	mau	8961142	1	6.0	6.0			Sketches of life and character / | $c: by T.S. Arthur.		True	Sketches of life and character	0.2387139029461373	0.00866330028815043
mdp.39015005753408	Beckford, William	Beckford, William	1760-1844.	1868	1844	s	1868	    	London;S. Low, Son, and Marston;1868.	1868		Fiction|UnknownGenre|NotFiction				5506148.0	enk	1909811	2	7.0	6.0			The history of the Caliph Vathek.		True	The history of the Caliph Vathek	0.508106374585617	0.683408759297212
uc2.ark+=13960=t1gh9cz03	Lytton, Edward Bulwer Lytton	Lytton, Edward Bulwer Lytton, Baron	1803-1873.	1841	1841	s	1841	    	London;Saunders and Otley;1841.	1841		Fiction|UnknownGenre|NotFiction			PZ3.L998N	2844780.0	enk	7690030	1	15.0	7.0	v.001	1.0	Night and morning		True	Night and morning	0.14188945450622156	0.010127407169063426
uc2.ark+=13960=t7dr2rb49	Lytton, Edward Bulwer Lytton	Lytton, Edward Bulwer Lytton, Baron	1803-1873.	1841	1841	s	1841	    	London;Saunders and Otley;1841.	1841		Fiction|UnknownGenre|NotFiction			PZ3.L998N	2844780.0	enk	7690030	1	15.0	7.0	v.002	2.0	Night and morning		True	Night and morning	0.07603314682724845	0.034963337057870116
uc2.ark+=13960=t56d5r925	Lytton, Edward Bulwer Lytton	Lytton, Edward Bulwer Lytton, Baron	1803-1873.	1841	1841	s	1841	    	London;Saunders and Otley;1841.	1841		Fiction|UnknownGenre|NotFiction			PZ3.L998N	2844780.0	enk	7690030	1	15.0	7.0	v.003	3.0	Night and morning		True	Night and morning	0.059363143412425275	0.007491479651019159
pst.000006682088	James, G. P. R. (George Payne Rainsford)	James, G. P. R. (George Payne Rainsford)	1801?-1860.	1840	1840	s	1840	    	Harper;1840.	1840		Fiction|NotFiction	France|Fiction|Huguenots			79101675.0	xx 	7517054	1	5.0	5.0	v.1	1.0	The man-at-arms, or, Henry de Cerons.		True	The man-at-arms, or, Henry de Cerons	0.0	0.0
pst.000006682156	James, G. P. R. (George Payne Rainsford)	James, G. P. R. (George Payne Rainsford)	1801?-1860.	1840	1840	s	1840	    	Harper;1840.	1840		Fiction|NotFiction	France|Fiction|Huguenots			79101675.0	xx 	7517054	1	5.0	5.0	v.2	2.0	The man-at-arms, or, Henry de Cerons.		True	The man-at-arms, or, Henry de Cerons	0.24286862901634002	0.10841809986335907
uc2.ark+=13960=t0ft8dq8c	Longstreet, Augustus Baldwin	Longstreet, Angustus Baldwin	1790-1870.	1840	1840	s	1840	    	New York;Harper & Brothers;c1840.	1840		Bibliographies|Fiction|NotFiction	American fiction|Social life and customs|Fiction|Fiction|Dialect literature, American|Georgia|Social life and customs|Humorous stories, American			191245152.0	nyu	7666027	1	10.0	5.0			Georgia scenes, characters, incidents, &c., in the first half century of the Republic		True	Georgia scenes, characters, incidents, &c., in the first half century of the Republic	0.39404112042757816	0.014796480955382428
uc1.b4103232	Dickens, Charles	Dickens, Charles	1812-1870.	1841	1841	s	1841	    	Philadelphia.;T.B. Peterson;1841	1841	Peterson's uniform ed.	Bibliographies|Fiction|ContainsBiogMaterial|NotFiction	Gordon Riots, 1780|Dickens, Charles|1812-1870|Fiction			5373697.0	pau	6155439	1	18.0	5.0			"Barnaby Rudge, | $c: by Charles Dickens. (""Boz"")"		True	Barnaby Rudge	0.2898260905896027	0.11121500133564056
njp.32101068170990	Howitt, Mary Botham	Howitt, Mary Botham	1799-1888.	1841	1841	s	1841	    	New York;D. Appleton;1841.	1841		Fiction|NotFiction	Children's stories|English fiction|Quaker authors			11984929.0	nyu	8968590	1	5.0	5.0			Sowing and reaping : | or, What will come of it / | $c: by Mary Howitt.		True	Sowing and reaping : or, What will come of it	0.4279482303783564	0.005441814790591824
uc1.$b250187	Marryat, Frederick	Marryat, Frederick	1792-1848.	1842	1842	s	1842	    	London;H. Colburn;1842.	1842		Bibliographies|Fiction	English fiction		PZ3.M349Pe1b	6793352.0	enk	6502440	2	9.0	5.0	v. 1	1.0	Percival Keene		True	Percival Keene	0.0	0.0
uc1.$b250188	Marryat, Frederick	Marryat, Frederick	1792-1848.	1842	1842	s	1842	    	London;H. Colburn;1842.	1842		Bibliographies|Fiction	English fiction		PZ3.M349Pe1b	6793352.0	enk	6502440	2	9.0	5.0	v. 2	2.0	Percival Keene		True	Percival Keene	0.0	0.0
uc1.$b250189	Marryat, Frederick	Marryat, Frederick	1792-1848.	1842	1842	s	1842	    	London;H. Colburn;1842.	1842		Bibliographies|Fiction	English fiction		PZ3.M349Pe1b	6793352.0	enk	6502440	2	9.0	5.0	v. 3	3.0	Percival Keene		True	Percival Keene	0.11249111336463644	0.11224076421397927
nyp.33433074954136	Dickens, Charles	Dickens, Charles	1812-1870.	1844	1844	s	1844	    	Leipzig;Tauchnitz;1844.	1844		Fiction|NotFiction	Martin Chuzzlewit			6542197.0	gw 	8664654	1	21.0	5.0			The life and adventures of Martin Chuzzlewit : | his relatives, friends, and enemies, comprising all his wills and his ways : with an historical record of what he did, and what he didn't ... / | $c: edited by Boz (Charles Dickens).		True	The life and adventures of Martin Chuzzlewit : his relatives, friends, and enemies, comprising all his wills and his ways : with an historical record of what he did, and what he didn't	0.3007483846868833	0.0234175257954356
uc1.$b248119	Arthur, T. S	Arthur, T. S. (Timothy Shay)	1809-1885.	1845	1845	s	1845	    	Philadelphia;Henry F. Anners.;c1845	1845		Fiction|NotFiction	American fiction			6960161.0	pau	6501139	1	5.0	5.0	pt.1-3	1.0	The three eras in a woman's life		True	The three eras in a woman's life	0.10073021491472092	0.15421512793441308
nyp.33433074954482	Dickens, Charles	Dickens, Charles	1812-1870.	1846	1846	s	1846	    	Leipzig;B. Tauchnitz;1846.	1846	Copyright ed.	Juvenile audience|Christmas stories|NotFiction|Ghost stories|Fiction	Christmas stories|Misers|Fiction|London (England)|Poor families|Scrooge, Ebenezer (Fictitious character)|Fiction|Sick children|Ghost stories|Social life and customs|Juvenile fiction|19th century			37234567.0	gw 	8668485	1	14.0	5.0			A Christmas carol in prose; | The chimes; The cricket on the hearth. | $c: By Charles Dickens.		True	A Christmas carol in prose; The chimes; The cricket on the hearth	0.20288720619385056	0.21681934996831026
uc2.ark+=13960=t88g8gt8r	Judson, Emily C	Judson, Emily C. (Emily Chubbuck)	1817-1854.	1847	1847	s	1847	    	Boston;W. D. Ticknor;1847.	1847		NotFiction	American literature		PS2156.J3A7 1847	7634766.0	mau	7663478	1	5.0	5.0	v.2	2.0	Alderbrook: a collection of Fanny Forester's village sketches, poems, etc		True	Alderbrook: a collection of Fanny Forester's village sketches, poems, etc	0.1800576733646713	0.12063527066120355
njp.32101067628402	Arthur, T. S. (Timothy Shay)	Arthur, T. S. (Timothy Shay)	1809-1885.	1847	1847	s	1847	    	New York;R.T. Young;1847	1847		Fiction|NotFiction				20440531.0	nyu	8961144	1	5.0	5.0			Retiring from business: or, The rich man's error.		True	Retiring from business: or, The rich man's error	0.033301999174588884	0.02774687491405822
uc2.ark+=13960=t0xp77717	Sterling, John	Sterling, John	1806-1844.	1848	1844	s	1848	    	London;J. W. Parker;1848.	1848						467121.0	enk	1023443	5	5.0	5.0	v.2	2.0	Essays and tales	Fragments from the travels of Theodore Elbert. Thoughts. Tales and apologues	True	Fragments from the travels of Theodore Elbert. Thoughts. Tales and apologues	0.3268287698750115	0.06619156018683935
uc2.ark+=13960=t6xw48g2v	Myers, P. Hamilton	Myers, P. Hamilton (Peter Hamilton)	1812-1878.	1848	1848	 	1848	    	New York;G. P. Putnam; [etc., etc.;1848.	1848		Fiction	Fiction|New York (State)|History|Colonial period, ca. 1600-1775		PZ3.M991F	1334254.0	xx 	7667523	2	5.0	5.0			The first of the Knickerbockers: a tale of 1673		True	The first of the Knickerbockers: a tale of 1673	0.0	0.0
ucm.532420096x	Thackeray, William Makepeace	Thackeray, William Makepeace	1811-1863.	1849	1849	s	1849	    	Leipzig;Bernhard Tauchnitz;1849.	1849		ContainsBiogMaterial|NotFiction|Novel|Bibliographies|Fiction|UnknownGenre	Young men|Thackeray, William Makepeace|English literature|England|Dictionaries, indexes, etc|Fiction|1811-1863|Victoria, 1837-1901|History				gw 	9654758	1	31.333333333333336	5.0	Vol. 2	2.0	The history of pendennis : | his fortunes and misfortunes, his friends and his greatest enemy / | $c: by W.M. Thackeray.		True	The history of pendennis : his fortunes and misfortunes, his friends and his greatest enemy	0.12879126502782587	0.1300983017492347
ucm.5324200979	Thackeray, William Makepeace	Thackeray, William Makepeace	1811-1863.	1849	1849	s	1849	    	Leipzig;Bernhard Tauchnitz;1849.	1849		ContainsBiogMaterial|NotFiction|Novel|Bibliographies|Fiction|UnknownGenre	Young men|Thackeray, William Makepeace|English literature|England|Dictionaries, indexes, etc|Fiction|1811-1863|Victoria, 1837-1901|History				gw 	9654758	1	31.333333333333336	5.0	Vol. 3	3.0	The history of pendennis : | his fortunes and misfortunes, his friends and his greatest enemy / | $c: by W.M. Thackeray.		True	The history of pendennis : his fortunes and misfortunes, his friends and his greatest enemy	0.4955223172523856	0.07182941051799711
uc1.b4354024	Krylov, Ivan Andreevich	Krylov, Ivan Andreevich	1768-1844.	1869	1844	s	1869	    	London;Strahan and Co.;1869	1869		Bibliographies|UnknownGenre|NotFiction				2158138.0	enk	9508028	1	5.0	5.0			Krilof and his fables, | $c: by W.R.S. Ralston		True	Krilof and his fables	0.4332524958391564	0.784863646792607
uc1.b3865940	Marryat, Frederick	Marryat, Frederick	1792-1848.	1889	1848	s	1889	    	New York;Grosset & Dunlap;192-?	"<estimate=""[192-?]"">"		Fiction|NotFiction	Juvenile fiction|Shipwrecks|Voyages, Imaginary		PZ3.M349M4	21740451.0	nyu	7881390	1	7.0	5.0			Masterman Ready.		False	Masterman Ready	0.06659753251946518	0.9998018048320874
uc2.ark+=13960=t8df6pw88	Burney, Fanny	Burney, Fanny	1752-1840.	1890	1840	 	1890	    	New York;Scribner and Welford;1890.	1890		NotFiction	Burney, Fanny|Social conditions|19th century|1752-1840|18th century			752593.0	enk	7694150	2	5.0	5.0			Fanny Burney and her friends		False	Fanny Burney and her friends	0.3633128562090817	0.3292600395835483
uiuo.ark+=13960=t8z89jk5h	Cockton, Henry	Cockton, Henry	1807-1853.	1841	1841	s	1841	    	London;Richard Bentley ...;1841.	1841		Fiction|NotFiction	823C64ST|English fiction			15996267.0	enk	8723459	1	5.0	5.0	v.1	1.0	Stanley Thorn		True	Stanley Thorn	0.1611930991850594	0.2520375594957848
uiuo.ark+=13960=t33207z8j	Cockton, Henry	Cockton, Henry	1807-1853.	1841	1841	s	1841	    	London;Richard Bentley ...;1841.	1841		Fiction|NotFiction	823C64ST|English fiction			15996267.0	enk	8723459	1	5.0	5.0	v.2	2.0	Stanley Thorn		True	Stanley Thorn	0.2506690544301778	0.4589465767881447
