docid	recordid	oclc	locnum	author	authordate	imprint	inferreddate	datetype	startdate	enddate	imprintdate	place	enumcron	materialtype	language	subjects	genres	geographics	contents	title
uc1.b4098818	006153582	9435964		Johnson, Crockett,	1906-1975.	New York|Harper|c1959.	1959	s	1959	    	1959	nyu		monograph	eng		Fiction|Juvenile audience		1st Cadmus ed.	Ellen's lion : | twelve stories / | $c: Crocket Johnson [i.e. D. J. Leisk].
uc1.b4098978	006153685	1574504	PZ10.3.C767Cu	Cook, Bernadine.		N[ew] Y[ork|Young Scott Books|c1956.	1956	s	1956	    	1956	nyu		monograph	eng		Fiction|Juvenile audience			The curious little kitten. | $c: Pictures by Remy Charlip.
uc1.b4098994	006153693	12553864	PZ10.3.H964Cat	Hurd, Edith Thacher,	1910-1997.	New York|Lothrop, Lee & Shephard Co.|1955	1955	s	1955	    	1955	nyu		monograph	eng		Fiction|Juvenile audience			The cat from Telegraph Hill, | $c: by Edith Thacher Hurd and Clement Hurd.
uc1.b4099017	006153704	1413259	PZ9.L617To	Liang, Yen,	1912?-	New York|Oxford University Press|1953.	1953	s	1953	    	1953	nyu		monograph	eng		Fiction|Juvenile audience			Tommy and Dee-Dee.
uc1.b4099026	006153711	305688	PZ10.3.M1297Bv	McClung, Robert M.		New York|W. Morrow|1958.	1958	s	1958	    	1958	nyu		monograph	eng		Fiction|Juvenile audience			Buzztail; | the story of a rattlesnake, | $c: written and illustrated by Robert M. McClung.
uc1.b4099033	006153716	2722809		Pohlmann, Lillian.		New York|Coward-McCann|1956.	1956	s	1956	    	1956	nyu		monograph	eng		Fiction|Juvenile audience			Myrtle Albertina's secret / | $c: Lillian Pohlmann ; illus. by Erik Blegvad.
uc1.b4099036	006153718	1399714	PZ7.M675Se	Mirsky, Reba Paeff.		Chicago|Follett Pub. Co.|c1955	1955	s	1955	    	1955	ilu		monograph	eng		Fiction|Juvenile audience			Seven grandmothers; | $c: illustrated by W.T. Mars.
uc1.b3711155	006153718	1399714	PZ7.M675Se	Mirsky, Reba Paeff.		Chicago|Follett Pub. Co.|c1955	1955	s	1955	    	1955	ilu		monograph	eng		Fiction|Juvenile audience			Seven grandmothers; | $c: illustrated by W.T. Mars.
uc1.b4099037	006153719	4014248	PZ7.M675Th	Mirsky, Reba Paeff.		Chicago|Wilcox and Follett|1952	1952	s	1952	    	1952	ilu		monograph	eng		Fiction|Juvenile audience			Thirty-one brothers and sisters. | $c: Illus. by W.T. Mars.
uc1.b3711156	006153719	4014248	PZ7.M675Th	Mirsky, Reba Paeff.		Chicago|Wilcox and Follett|1952	1952	s	1952	    	1952	ilu		monograph	eng		Fiction|Juvenile audience			Thirty-one brothers and sisters. | $c: Illus. by W.T. Mars.
uc1.b4099055	006153732	4694779	PZ7.P2713Br	Patchett, Mary E. (Mary Elwyn),	1897-	Indianapolis|Bobbs-Merrill|c1958.	1958	s	1958	    	1958	inu		monograph	eng		Fiction|Juvenile audience			Brumby, the wild white stallion / | $c: by Mary Elwyn Patchett ; ill. by Gerald McCann.
uc1.b4099056	006153733	1825812	PZ7.P2713Tam 2	Patchett, Mary E. (Mary Elwyn),	1897-	Indianapolis|Bobbs-Merrill|1955	1955	s	1955	    	1955	inu		monograph	eng		Fiction		[1st American ed.]	Tam the untamed. | $c: Illustrated by Gerald McCann.
uc1.b4099074	006153744	1692883	PZ7.R797Jad	Rowland, Florence Wightman.		New York|Oxford University Press|1954.	1954	s	1954	    	1954	nyu		monograph	eng		Fiction			Jade dragons; | $c: illustrated by Douglas Gorsline.
uc1.b4099123	006153780	1346081	PZ7.M59Mar	Miers, Earl Schenck,	1910-1972.	Cleveland|World Pub. Co.|1957	1957	s	1957	    	1957	ohu		monograph	eng	Juvenile literature|Twain, Mark|1835-1910	Fiction|Juvenile audience		[1st ed.]	Mark Twain on the Mississippi. | $c: Illustrated by Robert Frankenberg.
uc1.b4099792	006153852	1424938	PZ3.B26234Mar	Barnes, Margaret Campbell,	1891-1962.	Philadelphia|Macrae Smith|1956 [c1955	1956	c	1956	1955	1956	pau		monograph	eng	Charles I|King of England|1600-1649|Fiction	Fiction			Mary of Carisbrooke.
uc1.b4099856	006153880	1424732	PZ4.A7Qi2	Ariss, Jean.		New York|Harper|c1958	1958	r	1958	    	1958	nyu		monograph	eng		Fiction		[1st American ed.]	The quick years.
uc1.b4099888	006153900	1702300	PZ3.A5466Bl	Anderson, Florence Mary (Bennett)	1883-	New York|Crown Publishers|1948	1948	s	1948	    	1948	nyu		monograph	eng	Theseus (Greek mythology)	Fiction			The black sail, | a novel.
uc1.b4101366	006154525	5904600		Trollope, Anthony,	1815-1882.	New York|Dodd, Mead|1930.	1930	s	1930	    	1930	nyu	v.3 (copy 1)	monograph	eng		Fiction			The prime minister / | $c: by Anthony Trollope.
uc1.b4101661	006154668	12005983		Dickens, Charles,	1812-1870.	London|Piccadilly Fountain Press|1932.	1932	r	1932	1836	1932	enk	v.2	monograph	eng	Facsimiles|Dickens, Charles|1812-1870|Manuscripts	Fiction		[Limited Lombard Street ed.]	The posthumous papers of the Pickwick Club / | $c: by Charles Dickens ; with forty-three illustrations by R. Seymour, R. W. Buss and 'Phiz' ; facsimiles of the original manuscripts, &c.
uc1.b4101793	006154724	478180		Carroll, Ruth,	1899-	New York|H.Z. Walck|1963	1963	s	1963	    	1963	nyu		monograph	eng		Fiction|Juvenile audience			Runaway pony, runaway dog.
uc1.b4101794	006154725	1392227	PZ7.C26873Wh	Castle, Jane.		New York|Holiday House|1963.	1963	s	1963	    	1963	nyu		monograph	eng		Fiction|Juvenile audience			Whose tree house? | $c: Written and illustrated by Jane Castle.
uc1.b4101833	006154751	1870217	PZ10.3.C26To	Carroll, Ruth,	1899-	New York|Oxford University Press|1954.	1954	s	1954	    	1954	nyu		monograph	eng		Fiction			Tough Enough, | $c: by Ruth and Latrobe Carroll.
uc1.b4101847	006154760	1408662	PZ10.C72Ib	Conklin, Gladys Plemon.		New York|Holiday House|1958	1958	s	1958	    	1958	nyu		monograph	eng	Juvenile literature|Caterpillars	Fiction|Juvenile audience			I like caterpillars. | $c: Words by Gladys Conklin. Pictures by Barbara Latham.
uc1.b4101850	006154763	1392380	PZ7.B4714Lo	Bianco, Pamela,	1906-	New York|Oxford University Press|1952.	1952	s	1952	    	1952	nyu		monograph	eng		Fiction			The look-inside Easter egg.
uc1.b4101897	006154787	5004342	PZ7.D24Ke	Darby, Ada Claire,	1883-1953.	New York|Frederick A. Stokes Company|1935.	1935	s	1935	    	1935	nyu		monograph	eng	1846-1850|Fiction|History	Novel	California, Southern|California		Keturah came 'round the Horn : | a story of old California / | $c: by Ada Claire Darby ; with twelve illustrations in black-and-white by Grace Gilkinson.
uc1.b4101900	006154788	1393118	PZ10.3.B677Re	Boutwell, Edna,	1894-	New York|Aladdin Books|1950	1950	s	1950	    	1950	nyu		monograph	eng		Fiction|Juvenile audience		[1st ed.]	Red Rooster; | $c: illustrated by Bernard Garbutt.
uc1.b4101907	006154792	5524490	PZ8.1.D298Pad	Davis, Robert,	1881-	New York|Holiday House|c1939	1939	s	1939	    	1939	nyu		monograph	eng	Tales|Spain	Fiction|Juvenile audience			Padre Porko, | the gentlemanly pig, | $c: by Robert Davis; illustrated by Fritz Eichenberg.
uc1.b4101936	006154813	214955370	PZ7.B98Li5	Butterfield, Marguerite Antoinette,	1900-	Chicago|Lyons & Carnahan|1963	1963	s	1963	    	1963	ilu		monograph	eng	Fiction|Ojibwa Indians	Fiction|Juvenile audience			Little Wind [by] Marguerite Butterfield [and] Dorothy Lothrop Brown. [Illustrator : John Downs]
uc1.b4101947	006154822	9868781		Clark, Ann Nolan,	1896-1995.	Chilocco, Okla.|Print. Dept., Chilocco Indian Agricultural School|1950.	1950	s	1950	    	1950	oku		monograph	eng	Readers|1870-1950|Fiction|Taos Indians	Fiction|Juvenile audience			Little boy with three names = | El muchachito con tres nombres : stories of Taos pueblo / | $c: by Ann Clark ; Spanish translation by Christina M. Jenkins ; illustrations by Tonita Lujan (Khup-Khu) of Taos pueblo.
uc1.b4102285	006154995	3442688	PZ3.W64Lo	Wiggin, Kate Douglas Smith,	1856-1923.	Buxton, Me.|Priv. print. by the Dorcas society of Hollis and Buxton, Maine|1924.	1924	s	1924	    	1924	meu		monograph	eng		Fiction			Love by express; | a novel of California, | $c: by Kate Douglas Wiggin.
uc1.b4102449	006155079	4289817		Thackeray, William Makepeace,	1811-1863.	New York|The Macmillan company|1926	1926	s	1926	    	1926	nyu		monograph	eng		Fiction			Vanity fair, | a novel without a hero. | $c: With illustrations by the author. | Abridged and edited by Max J. Herzberg.
uc1.b4102933	006155279	6608757		Van Dyke, Henry,	1852-1933.	Alhambra, Calif.|C. F. Braun & Co.|1956.	1956	s	1956	    	1956	cau		monograph	eng		Fiction		Limited ed.	The first Christmas tree [and] The story of the other wise man.
uc1.b4104035	006155650	4161064	PZ7 M546Co	Nichols, Walter Hammond,	1866-	New York|Macmillan|1937, c1927.	1937	c	1937	    	1937	nyu		monograph	eng		Fiction|Juvenile audience			Cowboy Hugh : | the odyssey of a boy / | $c: by Walter H. Nichols ; illustrated by Joe DeYong.
uc1.b4104721	006156004	1335148		Trollope, Anthony,	1815-1882.	New York|Dodd, Mead & Co.|1925.	1925	s	1925	    	1925	nyu	v.1 (copy 1)	monograph	eng		Fiction			Orley farm, | $c: by Anthony Trollope.
uc1.b4104722	006156004	1335148		Trollope, Anthony,	1815-1882.	New York|Dodd, Mead & Co.|1925.	1925	s	1925	    	1925	nyu	v.2 (copy 1)	monograph	eng		Fiction			Orley farm, | $c: by Anthony Trollope.
uc1.b4104723	006156004	1335148		Trollope, Anthony,	1815-1882.	New York|Dodd, Mead & Co.|1925.	1925	s	1925	    	1925	nyu	v.3 (copy 1)	monograph	eng		Fiction			Orley farm, | $c: by Anthony Trollope.
uc1.b4105199	006156215	9498971		Trollope, Anthony,	1815-1882.	Stratford-upon-Avon|Published for the Shakespeare Head Press by B. Blackwell, Oxford|1929.	1929	s	1929	    	1929	enk	v.1	monograph	eng		Fiction			Barchester Towers / | $c: by Anthony Trollope.
uc1.b4105356	006156255	1839388	PZ8.M1754Fai	MacDonald, George,	1824-1905.	New York|Holiday house|1936.	1936	s	1936	    	1936	nyu		monograph	eng		Fiction|Juvenile audience			The fairy fleet, | $c: by George MacDonald. Illustrated by Stuyvesant Van Veen.
uc1.b4105413	006156288	33287372		Altsheler, Joseph A. (Joseph Alexander),	1862-1919.	New York|D. Appleton-Century|1937, c1928.	1937	c	1937	1928	1937	nyu		monograph	eng	1745-1796|1734-1818|Wayne, Anthony|Fiction|St. Clair, Arthur	Fiction			The wilderness road : | a romance of St. Clair's defeat and Wayne's victory / | $c: by Joseph A. Altsheler.
uc1.b4105494	006156339	808211	PS2665.A2 1925	Proctor, Edna Dean,	1829-1923.	Boston|New York|Houghton Mifflin co.|1925.	1925	s	1925	    	1925	mau		monograph	eng		Fiction			The complete poetical works of Edna Dean Proctor.
uc1.b4105553	006156367	12656218		Trollope, Anthony,	1815-1882.	New York|Dodd, Mead|1941.	1941	s	1941	    	1941	nyu		monograph	eng		Fiction			The warden.
uc1.b4108111	006157112	421281	PZ3.D362Fo12PR3404	Defoe, Daniel,	1661?-1731.	New York|The Modern Library|1926	1926	s	1926	    	1926	nyu	copy 2	monograph	eng		Fiction			The fortunes and misfortunes of the famous Moll Flanders, | $c: by Daniel Defoe.
uc1.b3576603	006157112	421281	PZ3.D362Fo12PR3404	Defoe, Daniel,	1661?-1731.	New York|The Modern Library|1926	1926	s	1926	    	1926	nyu	c.4	monograph	eng		Fiction			The fortunes and misfortunes of the famous Moll Flanders, | $c: by Daniel Defoe.
uc1.b4109914	006157404	4655226	PR3330.A2	Bunyan, John,	1628-1688.	Mount Vernon, N.Y.|The Peter Pauper Press|1945	1945	s	1945	    	1945	nyu		monograph	eng	Christian pilgrims and pilgrimages|Fiction	Typefaces (Type evidence)|Fiction|Weiss			The pilgrim's progress from this world to that which is to come, | delivered under the similitude of a dream, wherein is discovered the manner of his setting out, his dangerous journey, and safe arrival at the desired country, | $c: by John Bunyan.
uc1.b4119200	006159518	1657413	PZ8.1.H975G4	Hutchinson, W. M. L. (Winifred Margaret Lambart),	b. 1868.	New York [etc.|Longmans, Green and Co.|1925.	1925	s	1925	    	1925	nyu		monograph	eng	Fairy tales	Fiction|Juvenile audience		The favorite of the gods.--The prince who was a seer.--Peleus and the sea-king's daughter.--The lad with one sandal.--The pansy baby.--The heavenly twins.--The Isle of the rose.--The first horse.--The builders of Troy.	The golden porch; | a book of Greek fairy tales, | $c: by W.M.L. Hutchinson. New ed., with illustrations by Dugald Stewart Walker.
uc1.b4218591	006189382	8564932		Russell, Ross.		New York|MacFadden Books|1962, c1961.	1962	s	1962	1961	1962	nyu		monograph	eng		Fiction			The sound / | $c: by Ross Russell.
uc1.b4250908	006199738	1749661	QB209.W3	Way, R. Barnard (Robert Barnard),	b. 1890.	New York, N. Y.|Chemical publishing co., inc.|1940.	1940	s	1940	    	1940	nyu		monograph	eng	Time|Clocks and watches	Fiction			Time and its reckoning, | $c: by R. Barnard Way and Noel D. Green.
uc1.b4269949	006207381	429262	HD9321.4.A53 1960			Washington|Govt. Print. Off.|1960-	1960	m	1960	1965	1960	dcu	pt.2	monograph	eng	Produce trade|United States|Grocery trade|Chain stores	Fiction		pt. 1. Concentration and integration in retailing.--pt. 2. The frozen fruit, juice and vegetable industry.--pt. 3. The canned fruit, juice and vegetable industry.	Economic inquiry into food marketing; | staff report.
uc1.b4269950	006207381	429262	HD9321.4.A53 1960			Washington|Govt. Print. Off.|1960-	1960	m	1960	1965	1960	dcu	pt.3	monograph	eng	Produce trade|United States|Grocery trade|Chain stores	Fiction		pt. 1. Concentration and integration in retailing.--pt. 2. The frozen fruit, juice and vegetable industry.--pt. 3. The canned fruit, juice and vegetable industry.	Economic inquiry into food marketing; | staff report.
uc1.b4355349	006224471	291634		Williams, Thomas,	1926-	New York|Macmillan|1959.	1959	s	1959	    	1959	nyu		monograph	eng		Fiction			Town burning.
uc1.b4374185	006228778	1044123		Abernethy, Cecil.		New York|McGraw-Hill|c1957	1957	s	1957	    	1957	nyu		monograph	eng	In literature|1633-1703|Pepys, Samuel	Fiction			Mr. Pepys of Seething Lane; | a narrative.
uc1.b4381212	006229969	12129671		Artist, Ruth Hesse.		Philadelphia|Dorrance & Co.|c1951.	1951	s	1951	    	1951	pau		monograph	eng		Fiction			The devil's pitchfork / | $c: by Ruth Artist and Leora Peters.
uc1.b4381888	006230080	1807434	PZ4.H174Go	Hall, Arthur Dana,	1893-	New York|Crown Publishers|1955	1955	s	1955	    	1955	nyu		monograph	eng	Fiction|To 332 B.C|History	Fiction	Egypt		The golden balance.
uc1.b4393863	006232417	8420942	PZ4.L735Mo	Lin, Hazel,	1913-	New York|Pageant Press|c1958.	1958	s	1958	    	1958	nyu		monograph	eng		Fiction		1st ed.	The moon vow / | $c: by Hazel Lin.
uc1.b4450005	006241999	1809083		Faulkner, Fritz.		New York|Covici, Friede|c1937	1937	s	1937	    	1937	nyu		monograph	eng		Fiction			Windless sky, | $c: by Fritz Faulkner.
uc1.b4450139	006242032	16162746		submarine commander. Zhdanov, Aleksandr I.,		Garden City, N. Y.|Doubleday|1963.	1963	s	1963	    	1963	nyu		monograph	eng	Project Mercury (U.S.)|Fiction|Spy stories	Fiction		[1st ed.]	Shadow of peril / | $c: Aleksandr I. Zhdanov.
uc1.b4450845	006242166	1680138	PZ4.F469Si2	Fifield, William,	1916-	New York|Holt, Rinehart and Winston|1960	1960	r	1960	    	1960	nyu		monograph	eng		Fiction		[1st American ed.]	The sign of Taurus, | a novel.
uc1.b4450881	006242180	2617172		Flemister, John T.,	1914-	New York|Exposition Press|c1963.	1963	s	1963	    	1963	nyu		monograph	eng		Fiction		1st ed.	Furlough from hell : | a fantasy / | $c: by John T. Flemister.
uc1.b4463205	006243933	313690	PZ4.L167Le	Lafore, Laurence Davis.		Garden City, N.Y.|Doubleday|1962.	1962	s	1962	    	1962	nyu		monograph	eng		Fiction			Learner's permit; | a novel.
uc1.b4463808	006243970	18927102		Mahngotaysee, Soan.		Lombard, Ill.|A.O. Horn|1960.	1960	s	1960	    	1960	ilu		monograph	eng		Fiction		1st ed.	The difference is skin deep / | $c: by Soan Mahngotaysee.
uc1.b4463815	006243974	1817536	PZ4.M27Br	Mandel, George.		New York|Holt, Rinehart and Winston|1960	1960	s	1960	    	1960	nyu		monograph	eng		Fiction		[1st ed.]	The breakwater.
uc1.b4512668	006254091	3595292	PZ3.B9775We	Butler, Julius W.		Chicago|Jordan Pub. Co.|c1930	1930	s	1930	    	1930	ilu		monograph	eng		Fiction			West to Rising Sun, | $c: by Julius W. Butler.
uc1.b4522182	006256429	1599878		Bowditch, Nathaniel,	1773-1838.	Washington|U. S. Govt. printing office|1940.	1940	s	1940	    	1940	dcu		monograph	eng	Nautical astronomy|Tables|Navigation	Fiction		[Rev. ed. of 1938]|Re-edited and published and sold by the U. S. Hydrographic office by direction of the secretary of the Navy in accordance with the acts of Congress...	Useful tables from the American practical navigator.
uc1.b4523854	006256812	10263396				Los Angeles|N.Y.A. Project, Los Angeles City College|1939.	1939	s	1939	    	1939	cau		monograph	eng	American fiction|20th century|History | Fiction | Bibliography	Fiction|Bibliographies	United States		A guide to contemporary American fiction, | arranged regionally and topically.
uc1.b4572844	006272275	1712413	PZ8.1.L38Ol	Leighton, Robert,	1859-1934.	New York|The Macmillan co.|1929.	1929	s	1929	    	1929	nyu		monograph	eng	Olav|King of Norway|Fiction|I Trygveson|968-1000	Fiction			Olaf the glorious, | $c: by Robert Leighton, pictures by Henry Pitz.
uc1.b4572845	006272276	4401508	PZ7.S6052Cu	Lewiton, Mina,	1904-1970.	Philadelphia|D. McKay Co.|c1948	1948	s	1948	    	1948	pau		monograph	eng		Fiction			A cup of courage.
uc1.b4572848	006272279	2679468		Nevins, Albert J.,	1915-	New York|Dodd, Mead|1951.	1951	s	1951	    	1951	nyu		monograph	eng		Fiction|Juvenile audience			Adventures of Wu Han of Korea / | $c: Albert J. Nevins ; illustrated by Kurt Wiese.
uc1.b4572850	006272281	5843917		Vaughan, Agnes Carr.		New York|Longmans, Green|1940.	1940	s	1940	    	1940	nyu		monograph	eng		Fiction|Juvenile audience			Akka, dwarf of Syracuse / | $c: by Agnes Carr Vaughan ; illustrated by Elizabeth Tyler Wolcott.
uc1.b4572857	006272285	10115989				Lawrence, Kan.|Students in Printing, Haskell Institute|1936.	1936	s	1936	    	1936	ksu		monograph	eng	Pueblo Indians|Fiction	Fiction			School days in San Juan : | the story of child life in a New Mexico pueblo school / | $c: text by Indian children and Rhoda Tubbs, former teacher, San Juan Day School ; illustrated by students of Art Dept., U.S. Indian School, Santa Fe, New Mexico ; issued by the Office of Indian Affairs, Dept. of Interior, Washington, D.C.
uc1.b4572858	006272286	1825850	PZ7.P12Ho	Pace, Mildred Mastin.		New York|Whittlesey House|1954	1954	s	1954	    	1954	nyu		monograph	eng		Fiction			Home is where the heart is.
uc1.b4572862	006272290	1650838	PZ7.L625Ho	Liggett, Thomas.		New York|Holiday House|1958	1958	s	1958	    	1958	nyu		monograph	eng		Fiction			The Hollow.
uc1.b4576445	006274127	2034236	PZ7.F223Mar	Fargo, Lucile Foster,	b. 1880.	New York|Dodd, Mead & company|1936.	1936	s	1936	    	1936	nyu		monograph	eng		Fiction|Juvenile audience			Marian-Martha, | $c: by Lucile F. Fargo; illustrations by Dorothea Warren.
uc1.b4594037	006281666	1447211	PZ7.B879Ci	Buck, Pearl S. (Pearl Sydenstricker),	1892-1973.	New York|Day|c1957.	1957	s	1957	    	1957	nyu		monograph	eng	Christmas stories	Fiction|Juvenile audience			Christmas miniature / | $c: Pearl Buck ; illustrated by Anna Maria Magagna.
uc1.b4597299	006282917	1659017	PZ7.T648Jac	Tousey, Sanford.		Garden City, N. Y.|Doubleday|1947	1947	s	1947	    	1947	nyu		monograph	eng		Fiction|Juvenile audience		[1st ed.]	Jack finds gold.
uc1.b3401926	006288506	3466105		Sterne, Laurence,	1713-1768.	Oxford|B. Blackwell|1926-1927.	1926	m	1926	1927	1926-1927	enk	v.1	monograph	eng	Sterne, Laurence|1713-1768	Fiction|Autobiography		[1-3] The life and opinions of Tristram Shandy, gentleman -- [4-5] The sermons of Mr. Yorick -- [6] A sentimental journey through France and Italy -- [7] Letters of Laurence Sterne.	The Shakespeare Head edition of the works of Lawrence Sterne.
uc1.b3401927	006288506	3466105		Sterne, Laurence,	1713-1768.	Oxford|B. Blackwell|1926-1927.	1926	m	1926	1927	1926-1927	enk	v.2	monograph	eng	Sterne, Laurence|1713-1768	Fiction|Autobiography		[1-3] The life and opinions of Tristram Shandy, gentleman -- [4-5] The sermons of Mr. Yorick -- [6] A sentimental journey through France and Italy -- [7] Letters of Laurence Sterne.	The Shakespeare Head edition of the works of Lawrence Sterne.
uc1.b3401928	006288506	3466105		Sterne, Laurence,	1713-1768.	Oxford|B. Blackwell|1926-1927.	1926	m	1926	1927	1926-1927	enk	v.3	monograph	eng	Sterne, Laurence|1713-1768	Fiction|Autobiography		[1-3] The life and opinions of Tristram Shandy, gentleman -- [4-5] The sermons of Mr. Yorick -- [6] A sentimental journey through France and Italy -- [7] Letters of Laurence Sterne.	The Shakespeare Head edition of the works of Lawrence Sterne.
uc1.b3401929	006288506	3466105		Sterne, Laurence,	1713-1768.	Oxford|B. Blackwell|1926-1927.	1926	m	1926	1927	1926-1927	enk	v.4	monograph	eng	Sterne, Laurence|1713-1768	Fiction|Autobiography		[1-3] The life and opinions of Tristram Shandy, gentleman -- [4-5] The sermons of Mr. Yorick -- [6] A sentimental journey through France and Italy -- [7] Letters of Laurence Sterne.	The Shakespeare Head edition of the works of Lawrence Sterne.
uc1.b3401930	006288506	3466105		Sterne, Laurence,	1713-1768.	Oxford|B. Blackwell|1926-1927.	1926	m	1926	1927	1926-1927	enk	v.5	monograph	eng	Sterne, Laurence|1713-1768	Fiction|Autobiography		[1-3] The life and opinions of Tristram Shandy, gentleman -- [4-5] The sermons of Mr. Yorick -- [6] A sentimental journey through France and Italy -- [7] Letters of Laurence Sterne.	The Shakespeare Head edition of the works of Lawrence Sterne.
uc1.b3401931	006288506	3466105		Sterne, Laurence,	1713-1768.	Oxford|B. Blackwell|1926-1927.	1926	m	1926	1927	1926-1927	enk	v.6	monograph	eng	Sterne, Laurence|1713-1768	Fiction|Autobiography		[1-3] The life and opinions of Tristram Shandy, gentleman -- [4-5] The sermons of Mr. Yorick -- [6] A sentimental journey through France and Italy -- [7] Letters of Laurence Sterne.	The Shakespeare Head edition of the works of Lawrence Sterne.
uc1.b3401932	006288506	3466105		Sterne, Laurence,	1713-1768.	Oxford|B. Blackwell|1926-1927.	1926	m	1926	1927	1926-1927	enk	v.7	monograph	eng	Sterne, Laurence|1713-1768	Fiction|Autobiography		[1-3] The life and opinions of Tristram Shandy, gentleman -- [4-5] The sermons of Mr. Yorick -- [6] A sentimental journey through France and Italy -- [7] Letters of Laurence Sterne.	The Shakespeare Head edition of the works of Lawrence Sterne.
uc1.b3406842	006290407	1282730	PZ7.W695Li	Wilson, Hazel Hutchins.		New York|Knopf|1957.	1957	s	1957	    	1957	nyu		monograph	eng	marquise de|1759-1807|marquis de|Lafayette, Marie Joseph Paul Yves Roch Gilbert du Motier|1757-1834|Lafayette, Marie Adrienne (de Noailles)|Fiction	Fiction|Bibliographies		[1st ed.]	The little marquise: | Madame Lafayette. | $c: Illustrated by Paul A. Sagsoorian.
uc1.b3406861	006290419	8026539		Stein, Evaleen,	1863-1923.	Boston|L.C. Page|c1934	1934	s	1934	    	1934	mau		monograph	eng		Fiction|Juvenile audience			Gabriel and the hour book; | $c: illustrated in colours by Adelaide Everhart.
uc1.b3406874	006290429	1399467	PZ7.L9597Sn	Low, Elizabeth.		Boston|Little, Brown|1963	1963	s	1963	    	1963	mau		monograph	eng		Fiction|Juvenile audience		[1st ed.]	Snug in the snow. | $c: Illustrated by Ronni Solbert.
uc1.b3406883	006290435	1540789	PZ7.M2985Tam	Malvern, Gladys.		New York|Longmans, Green|1952.	1952	s	1952	    	1952	nyu		monograph	eng		Fiction|Juvenile audience		[1st ed.]	Tamar. | $c: Decorations by Corinne Malvern.
uc1.b3406885	006290437	1307504	PZ7.M2985Fo	Malvern, Gladys.		New York|Longmans, Green|1954.	1954	s	1954	    	1954	nyu		monograph	eng	Ruth|Fiction|(Biblical figure)	Fiction|Juvenile audience		[1st. ed.]	The foreigner ; | the story of a girl named Ruth. | $c: Decorations by Corinne Malvern.
uc1.b3406971	006290489	16729175	PZ7.T776Ch	Truchot, Theresa,	1891-	Portland, Or.|Binfords & Mort|1952	1952	s	1952	    	1952	oru		monograph	eng		Fiction|Juvenile audience			Charcoal wagon boy. | $c: Illus. by M. Vols Winkler.
uc1.b3406984	006290500	4159655	PZ7.W145Ch	Waldman, Frank,	1919-	Cleveland|World Pub. Co.|1955	1955	s	1955	    	1955	inu		monograph	eng		Fiction|Juvenile audience		[1st ed.]	The challenger.
uc1.b3407008	006290518	1680171	PZ7.H7395Ad	Holt, Isabella,	1892-1962.	Boston|Little, Brown|1959	1959	s	1959	    	1959	mau		monograph	eng		Fiction|Juvenile audience		[1st ed.]	The adventures of Rinaldo. | $c: With pictures by Erik Blegvad.
uc1.b3407018	006290525	1286067	PZ7.S6052Pe	Lewiton, Mina,	1904-1970.	New York|D. McKay Co.|c1955	1955	s	1955	    	1955	nyu		monograph	eng		Fiction			Penny's acres; | a novel.
uc1.b3407019	006290526	10549780		Lewiton, Mina.		New York|Franklin Watts|c1954.	1954	s	1954	    	1954	nyu		monograph	eng		Fiction|Juvenile audience			Rachel / | $c: by Mina Lewiton; pictures by Howard Simon.
uc1.b3407033	006290539	1615896	PZ7.T87Li	Turngren, Ellen.		New York|Longmans, Green|1956.	1956	s	1956	    	1956	nyu		monograph	eng		Fiction|Juvenile audience		[1st ed.]	Listen, my heart. | $c: Decorations by Vera Bock.
uc1.b3410876	006291712	2602597	PZ3.C154843Sc	Campbell, Mary Elizabeth,	1903-	Garden City, N. Y.|Pub. for Crime Club by Doubleday|c1943.	1943	s	1943	    	1943	nyu		monograph	eng		Fiction		First edition.	Scandal has two faces, | $c: by Mary E. Campbell.
uc1.b3437222	006294650	4910316		Anderson, Robert Gordon,	b. 1881.	New York|Appleton-Century|1939, c1926-1927.	1939	c	1939	1926	1939	nyu		monograph	eng	1769-1821|I|Emperor of the French|Napoleon	Fiction			Those quarrelsome Bonapartes / | $c: by Robert Gordon Anderson.
uc1.b3451733	006301290	1730745	PZ4.L756Cas	Shannon, Dell,	1921-	New York|Harper|1960	1960	s	1960	    	1960	nyu		monograph	eng		Fiction		[1st ed.]	Case pending, | $c: by Dell Shannon [pseud.]
uc1.b3451736	006301292	1305828	PZ4.L756Pr	Linington, Elizabeth.		New York|Viking Press|1955.	1955	s	1955	    	1955	nyu		monograph	eng	1530?-1567|of Tyrone|Fiction|O'Neill, Shane	Fiction			The proud man; | a novel.
uc1.b3453672	006301681	3088646	KF298.C3	Cavanaugh, J. J. (James J.)		New York|Philosophical Library|1963	1963	s	1963	    	1963	nyu		monograph	eng	Lawyers|United States	Fiction			The lawyer in society.
uc1.b3462013	006304680	1147641	PZ4.C639Th	Clifton, Mark.		New York|Gnome Press|1957.	1957	s	1957	    	1957	nyu		monograph	eng		Fiction		[1st ed.]	They'd rather be right | $c: [by] Mark Clifton and Frank Riley.
uc1.$b232546	006493495	1803458	PZ3.E571Man	Endore, S. Guy,	1901-1970.	New York|Farrar & Rinehart, incorporated|c1930	1930	s	1930	    	1930	nyu		monograph	eng		Fiction			The man from limbo, | $c: by Guy Endore.
