docid	recordid	oclc	locnum	author	authordate	imprint	inferreddate	datetype	startdate	enddate	imprintdate	place	enumcron	materialtype	language	subjects	genres	geographics	contents	title
usu.39060017413773	010759298	430839590	PS3607.O884J47 2009	Gould, Claudia.		Logan, Utah|Utah State University Press|c2009.	2009	s	2009	    	2009	utu		monograph	eng	Protestants|Ethnology|Fiction|Morganton (N.C.)|Parables|Religious fiction, American|North Carolina|Social life and customs	Bibliographies|Short stories, American|Fiction		Jesus in America -- A red crayon -- The mountains of spices -- Personal storage -- A moment of rapture -- Jack at the mercy seat.	Jesus in America : | and other stories from the field / | $c: Claudia Gould ; foreword by Lee Haring.
usu.39060016901448	011690992	86090526	PS3537.W4786C46 2007	Swenson, May		Logan, Utah|Utah State University Press|2007.	2007	s	2007	    	2007	utu		monograph	eng	Juvenile poetry|Imaginary companions|Horses|Poetry|Imagination	Juvenile audience|Fiction			The centaur / | $c: May Swenson ; illustrated by Sherry Meidell.
uc2.ark:/13960/t6sx64v1h	000159036	8189862		Kennedy, John Pendleton,	1795-1870.	New York|A. L. Burt company|1929	1929	s	1929	    	1929	nyu		monograph	eng	Colonial period, ca. 1600-1775|History | Fiction	Fiction	Maryland		Rob of the Bowl: | a legend of St. Inigoe's ...
uc2.ark:/13960/t8w953k0x	000243925	23010796		(Thornton Jenkins), Hains, T. Jenkins	b. 1866.	Boston|L. C. Page & company|1924.	1924	s	1924	    	1924	mau		monograph	eng		Fiction		The executive of the Randolph.--Timber Noggins.--Off the Horn: a tale of the southern ocean.--The black crew of Cooper's Hole.--Johnnie.--The treasure of Tinian Reef.--The Le Maire light.--The backsliders.--Captain Craven's courage.--The death of Huaticara.--A blunder.--To Clipperton Reef.--The transmigration of Amos Jones.--Murphy of the Conemaugh.--My pirate.--The curse of woman.	The wind-jammers, | $c: by T. Jenkins Hains.
uiuo.ark:/13960/t5m918m8g	000244718	8746910		Greene, Merritt.		Hillsdale, Mich.|Hillsdale School Supply|1959.	1959	s	1959	    	1959	miu		monograph	eng	Michigan|Fiction|Indian trails	Fiction|Bibliographies			"The land lies pretty = | ""Op-Jah-mo-mak-y-a"": a story of the Great Sauk Trail in 1832 with an introduction to the Northwest Territory / | $c: by Merritt Greene ; chapter head drawings by Jane Penfold."
mdp.39015001781353	000392092	715483	PZ3.B790J25	Brontë, Charlotte,	1816-1855.	Edinburgh|J. Grant|1924.	1924	s	1924	    	1924	stk	v.1	monograph	eng		Fiction			Jane Eyre, | $c: by Charlotte Brontë.
uc2.ark:/13960/t8tb2gt1p	000392646	358291	PZ3.G548A6	Godwin, William,	1756-1836.	New York|Greenberg|1926.	1926	s	1926	    	1926	nyu		monograph	eng		Fiction			The adventures of Caleb Williams, | $c: by William Godwin; with an introduction by Van Wyck Brooks.
mdp.39015055363751	000392672	4798558	PZ3.D362Fo10	Defoe, Daniel,	1661?-1731.	New York|A. A. Knopf|1923.	1923	s	1923	    	1923	nyu		monograph	eng		Fiction			The fortunes and misfortunes of the famous Moll Flanders | $c: [by] Daniel Defoe; with an introduction by Carl Van Doren.
miun.abw4845.0001.001	000435962	3009680		Harrison, Frederic,	1831-1923.	New York|D. Appleton and company|1923.	1923	s	1923	    	1923	nyu		monograph	eng		Fiction		De senectute: a dialogue.--My Victorian memories.--The city of Constantinople.--Greek and Elizabethan tragedy.--The art of translation.--The sexcentenary of Dante.--The tercentenary of Moliere.--Bath--Somerset--Henry Fielding.--Tobias Smollett.--Charles Kingsley.--The new age.--A philosophic synthesis.	De senectute; | more last words, | $c: by Frederic Harrison.
mdp.39015014137320	000537799	1650613	PZ4.L699Be	Lichtman, William.		New York|Citadel Press|1957	1957	s	1957	    	1957	nyu		monograph	eng		Fiction		[1st ed.]	Between the star and the cross.
coo1.ark:/13960/t9m33ct1t	000587747	780668	PR4349.B	Butler, Samuel,	1835-1902.	New York|E. P. Dutton & company|1927	1927	s	1927	    	1927	nyu		monograph	eng	Utopias	Fiction			Erewhon; or, Over the range, | $c: by Samuel Butler; with an introduction by Francis Byrne Hackett.
mdp.39015002155003	000667000	3865337		Conrad, Joseph,	1857-1924.	Garden City, N. Y.|Doubleday, Page & company|1925.	1925	s	1925	    	1925	nyu		monograph	eng		Fiction			The secret agent; | a simple tale, | $c: by Joseph Conrad.
uiuo.ark:/13960/t8rb83s1b	000778885	279949	PZ3.B8171Fa	Brown, Katharine Holland,	d. 1931.	New York|The John Day company|1928.	1928	s	1928	    	1928	nyu		monograph	eng	Lincoln, Abraham|1809-1865|Fiction	Fiction			The father, | $c: by Katharine Holland Brown.
mdp.39015005547727	000811402	385157	PZ8.A54Wh	(Hans Christian), Andersen, H. C.	1805-1875.	New York|Oxford university press|1936.	1936	s	1936	    	1936	nyu		monograph	eng	Fairy tales	Fiction			Fairy tales and legends, | $c: by Hans Andersen; illustrated by Rex Whistler.
miun.afb2168.0001.001	001187562	2691429	PS3539.U44C5 1927	Tully, Jim,	1888-1947.	Garden City, N.Y.|Garden City Publishing Co., inc.|1927	1929	s	1929	    	1927	nyu		monograph	eng		Fiction			Circus parade, / | $c: by Jim Tully; illustrated by William Gropper.
miun.agp6085.0001.001	001541930	6332826	PZ7.L5624An	Lerrigo, Peter Hugh James,	1875-	Philadelphia|Boston|The Judson Press|c1925	1925	s	1925	    	1925	pau		monograph	eng	Missions|Social life and customs|Philippines	Fiction	Philippines		Anita : | a tale of the Philippines / | $c: by P. H. J. Lerrigo.
miun.aje1563.0009.001	001911078	76360	PR3661.P5 1970	Richardson, Samuel,	1689-1761.	New York|AMS Press|1970	1970	r	1970	1902	1970	nyu	0009.001	monograph	eng		Fiction|Bibliographies		v. 1-4. Pamela; or, Virtue rewarded.--v. 5-12. The history of Clarissa Harlowe.--v. 13-19. The history of Sir Charles Grandison.	The novels of Samuel Richardson. | Complete and unabridged.
ufl1.ark:/13960/t4vh6mr4b	002100437	1693188		Francis, Gerald McFadden,	1898-	Washington|U.S. govt. Print. Off.|1947 [i.e. 1949	1949	s	1949	    	1947	wau		monograph	eng	Credit	Fiction			The small businessman and his bank.
miun.bbh8418.0001.001	004195467	14220181		Johnson, Martha,	1911-	New York|Thomas Y. Crowell|c1945.	1945	s	1945	    	1945	nyu		monograph	eng	Women|World War, 1939-1945|Personal narratives, American|United States|Medical care|Nurses	Fiction|Juvenile audience			Ann Bartlett returns to the Philippines / | $c: Martha Johnson.
mdp.39015078567222	005636459	11231897		Andrews, Leonora de Lima.		Springfield, Mass.|McLoughlin Bros.|1939.	1939	s	1939	    	1939	mau		monograph	eng	Fantasy|Voyages, Imaginary|Juvenile fiction|Voyages and travels	Fiction|Juvenile literature			Gulliver's travels into some strange parts of the world : | condensed from the immortal tale of Dean Swift / | $c: by Leonora de Lima Andrews.
uiuo.ark:/13960/t29898z05	005725798	3339136		Harte, Bret,	1836-1902.	San Francisco|T.C. Russell|1926.	1926	s	1926	    	1926	cau		monograph	eng	d. 1857|Argüello y Morago, María de la Concepción Marcela	Fiction			Concepción de Argüello : | (Presidio de San Francisco, 1806) / | $c: by Bret Harte.
uiuo.ark:/13960/t3903727q	005995244	504671	E457.15.W73	Winchester, Mollie C.		Chicago|A. Whitman and company|c1928	1928	s	1928	    	1928	ilu		monograph	eng	Lincoln, Abraham|1809-1865	Fiction|Juvenile audience|ContainsBiogMaterial			Oft-told tales of Lincoln, | $c: by Mollie C. Winchester ... drawings by Marguerite M. Jones.
uc2.ark:/13960/t6qz2b803	006061581	21883773		Riddell, J. H., Mrs.,	1832-1906.	London|Hutchinson|19--?	1990	q	1900	1990	"<estimate=""[19--?]"">"	enk		monograph	eng		Fiction		A new ed.	City and suburb : | a novel / | $c: by Mrs. J.H. Riddell.
uiuo.ark:/13960/t2x35ws35	006149643	284056	PZ4.E34Wi	Eifert, Virginia Louise Snider,	1911-1966.	New York|Dodd, Mead|1958.	1958	s	1958	    	1958	nyu		monograph	eng	Lincoln, Abraham|1809-1865|Fiction	Fiction			With a task before me; | Abraham Lincoln leaves Springfield. | $c: Illustrated by Manning de V. Lee.
uc2.ark:/13960/fk3319s85n	006155824	3805840	PZ3S866Be	Stockton, Frank Richard,	1834-1902.	New York|C. Scribner's|1923, c1915.	1923	c	1923	1915	1923	nyu		monograph	eng		Fiction		The bee-man of Orn.--The griffin and the minor canon.--Old pipes and the dryad.--The queen's museum.--Christmas before last.--Prince Hassak's march.--The battle of the third cousins.--The banished king.--The philopena.	The bee-man of Orn : | and other fanciful tales / | $c: by Frank R. Stockton.
uc2.ark:/13960/t02z13m55	006499195	9401545		Van Vechten, Carl,	1880-1964.	New York|A.A. Knopf|1924, c1922.	1924	s	1924	    	1924	nyu		monograph	eng		Fiction			Peter Whiffle; | his life and works.
coo1.ark:/13960/t9d516d8t	006576046	4819667	PZ3.H435So	Herrick, Robert,	1868-1938.	New York|Farrar & Rinehart, incorporated|c1933	1933	s	1933	    	1933	nyu		monograph	eng		Fiction			Sometime.
